Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetGameSettings_Background	0.000977	0.000977	0.657715	0.377930	2	2	1347	774	
BattleNetGameSettings_BackgroundAdventure	0.659668	0.000977	0.865723	0.345215	1351	2	1773	707	
BattleNetGameSettings_BackgroundCampaign	0.000977	0.785645	0.169434	0.937500	2	1609	347	1920	
BattleNetGameSettings_CampaignButtonDisabled	0.547363	0.672363	0.727539	0.783691	1121	1377	1490	1605	
BattleNetGameSettings_CampaignButtonUp	0.365234	0.672363	0.545410	0.783691	748	1377	1117	1605	
BattleNetGameSettings_CampaignButtonOver	0.365234	0.559082	0.545410	0.670410	748	1145	1117	1373	
BattleNetGameSettings_CampaignButtonDown	0.578125	0.445801	0.758301	0.557129	1184	913	1553	1141	
BattleNetGameSettings_ChallengeRifts_ButtonDisabled	0.760254	0.445801	0.940430	0.557129	1557	913	1926	1141	
BattleNetGameSettings_ChallengeRifts_ButtonUp	0.000977	0.559082	0.181152	0.670410	2	1145	371	1373	
BattleNetGameSettings_ChallengeRifts_ButtonOver	0.183105	0.559082	0.363281	0.670410	375	1145	744	1373	
BattleNetGameSettings_ChallengeRifts_ButtonDown	0.729492	0.672363	0.909668	0.783691	1494	1377	1863	1605	
BattleNetGameSettings_AdventureButtonDisabled	0.547363	0.559082	0.727539	0.670410	1121	1145	1490	1373	
BattleNetGameSettings_AdventureButtonUp	0.729492	0.559082	0.909668	0.670410	1494	1145	1863	1373	
BattleNetGameSettings_AdventureButtonOver	0.000977	0.672363	0.181152	0.783691	2	1377	371	1605	
BattleNetGameSettings_AdventureButtonDown	0.183105	0.672363	0.363281	0.783691	375	1377	744	1605	
BattleNetGameSettings_RadioSelectedOver	0.867676	0.000977	0.885742	0.019043	1777	2	1814	39	
BattleNetGameSettings_RadioNormalUp	0.887695	0.000977	0.905762	0.019043	1818	2	1855	39	
BattleNetGameSettings_FTPAdventureButtonUp	0.385742	0.445801	0.576172	0.557129	790	913	1180	1141	
BattleNetGameSettings_FTPAdventureButtonOver	0.193359	0.445801	0.383789	0.557129	396	913	786	1141	
BattleNetGameSettings_FTPAdventureButtonDown	0.000977	0.445801	0.191406	0.557129	2	913	392	1141	
BattleNetGameSettings_HeaderBackground	0.000977	0.379883	0.229004	0.443848	2	778	469	909	
