Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BnetHeroCreation_Tooltip	0.562988	0.275391	0.706543	0.329102	1153	282	1447	337	
BnetHeroCreation_ErrorDialog	0.368164	0.000977	0.670410	0.273438	754	1	1373	280	
BattleNetHeroCreate_TextInput	0.368164	0.275391	0.562012	0.335938	754	282	1151	344	
BattleNetHeroCreate_GenderButtons	0.368164	0.434570	0.531738	0.539063	754	445	1089	552	
BattleNetHeroCreate_GenderFemaleUp	0.585938	0.337891	0.631836	0.429688	1200	346	1294	440	
BattleNetHeroCreate_GenderFemaleOver	0.539063	0.337891	0.584961	0.429688	1104	346	1198	440	
BattleNetHeroCreate_GenderFemaleDown	0.933594	0.136719	0.979492	0.228516	1912	140	2006	234	
BattleNetHeroCreate_GenderFemaleSelected	0.679688	0.337891	0.725586	0.429688	1392	346	1486	440	
BattleNetHeroCreate_GenderMaleUp	0.632813	0.337891	0.678711	0.429688	1296	346	1390	440	
BattleNetHeroCreate_GenderMaleOver	0.886719	0.000977	0.932617	0.092773	1816	1	1910	95	
BattleNetHeroCreate_GenderMaleDown	0.933594	0.000977	0.979492	0.092773	1912	1	2006	95	
BattleNetHeroCreate_GenderMaleSelected	0.886719	0.136719	0.932617	0.228516	1816	140	1910	234	
BattleNetHeroCreate_HardCoreHeroWarning	0.000488	0.000977	0.367188	0.782227	1	1	752	801	
BattleNetHeroCreate_Header	0.368164	0.337891	0.538086	0.432617	754	346	1102	443	
BattleNetHeroCreate_HardcoreHeader	0.671387	0.000977	0.885742	0.134766	1375	1	1814	138	
BattleNetHeroCreate_SeasonalHeader	0.671387	0.136719	0.885742	0.270508	1375	140	1814	277	
BattleNet_HardcoreIcon	0.750488	0.275391	0.770996	0.316406	1537	282	1579	324	
BattleNet_SeasonIcon	0.707520	0.275391	0.728027	0.316406	1449	282	1491	324	
BattleNet_SeasonHardcoreIcon	0.729004	0.275391	0.749512	0.316406	1493	282	1535	324	
