Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetHeroSelect_DifficultyNormal	0.792480	0.242188	0.963867	0.492676	1623	496	1974	1009	
BattleNetHeroSelect_DifficultyNightmare	0.619141	0.242188	0.790527	0.492676	1268	496	1619	1009	
BattleNetHeroSelect_DifficultyHell	0.445801	0.242188	0.617188	0.492676	913	496	1264	1009	
BattleNetHeroSelect_DifficultyInferno	0.272461	0.242188	0.443848	0.492676	558	496	909	1009	
BattleNetHeroSelect_Details	0.000977	0.000977	0.294922	0.240234	2	2	604	492	
BattleNetHeroSelect_ActI	0.000977	0.521973	0.217285	0.679199	2	1069	445	1391	
BattleNetHeroSelect_ActII	0.219238	0.521973	0.435547	0.679199	449	1069	892	1391	
BattleNetHeroSelect_ActIII	0.437500	0.521973	0.653809	0.679199	896	1069	1339	1391	
BattleNetHeroSelect_ActIV	0.733398	0.033203	0.949707	0.190430	1502	68	1945	390	
BattleNetHeroSelect_ActV	0.515137	0.033203	0.731445	0.190430	1055	68	1498	390	
BattleNetHeroSelect_AdventureMode	0.296875	0.033203	0.513184	0.190430	608	68	1051	390	
BattleNetHeroSelect_HardcoreIcon	0.951660	0.033203	0.992188	0.079590	1949	68	2032	163	
BattleNetHeroSelect_RestoreButtonIcon	0.951660	0.178223	0.963379	0.187988	1949	365	1973	385	
BattleNetHeroSelect_RestoreButtonIconDisabled	0.965332	0.178223	0.977051	0.187988	1977	365	2001	385	
BattleNetHeroSelect_SwapDeletedWindow	0.000977	0.242188	0.270508	0.520020	2	496	554	1065	
BattleNetHeroSelect_Divider	0.296875	0.192383	0.507324	0.194336	608	394	1039	398	
BattleNetHeroSelect_CreateButton	0.296875	0.196289	0.497070	0.223633	608	402	1018	458	
BattleNetHeroSelect_BuyButton	0.655762	0.521973	0.855957	0.559082	1343	1069	1753	1145	
BattleNetHeroSelect_BaseSlot	0.389160	0.730469	0.575684	0.777832	797	1496	1179	1593	
BattleNetHeroSelect_LockedSlot	0.766113	0.681152	0.952637	0.728516	1569	1395	1951	1492	
BattleNetHeroSelect_Chain1	0.680664	0.730469	0.760742	0.775879	1394	1496	1558	1589	
BattleNetHeroSelect_Chain2	0.577637	0.730469	0.678711	0.777832	1183	1496	1390	1593	
BattleNetHeroSelect_Lock	0.973633	0.000977	0.994141	0.029297	1994	2	2036	60	
BattleNetHeroSelect_BaseGlow	0.577637	0.681152	0.764160	0.728516	1183	1395	1565	1492	
BattleNetHeroSelect_EmptySlot	0.389160	0.681152	0.575684	0.728516	797	1395	1179	1492	
BattleNetHeroSelect_HardcoreDetails	0.000977	0.681152	0.193359	0.849121	2	1395	396	1739	
BattleNetHeroSelect_HardcoreIconSelected	0.951660	0.081543	0.992188	0.127930	1949	167	2032	262	
BattleNetHeroSelect_HardcoreIconDead	0.951660	0.129883	0.992188	0.176270	1949	266	2032	361	
BattleNetHeroSelect_UndeleteListItemOver	0.748047	0.000977	0.971680	0.031250	1532	2	1990	64	
BattleNetHeroSelect_UndeleteListItemSelected	0.296875	0.000977	0.520508	0.031250	608	2	1066	64	
BattleNetHeroSelect_UndeleteListItemUp	0.522461	0.000977	0.746094	0.031250	1070	2	1528	64	
BattleNetHeroSelectParagonStatus_Background	0.195313	0.681152	0.387207	0.797363	400	1395	793	1633	
BattleNetHeroSelectParagonStatus_Plate	0.655762	0.591309	0.847656	0.619629	1343	1211	1736	1269	
BattleNetHeroSelectParagonStatus_ProgressBarEmpty	0.655762	0.561035	0.847656	0.589355	1343	1149	1736	1207	
BattleNetHeroSelectParagonStatus_ProgressBarFull	0.655762	0.621582	0.847656	0.649902	1343	1273	1736	1331	
