Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNet_IconDifficulty0	0.001953	0.015625	0.064453	0.515625	2	2	66	66	
BattleNet_IconDifficulty1	0.068359	0.015625	0.130859	0.515625	70	2	134	66	
BattleNet_IconDifficulty2	0.134766	0.015625	0.197266	0.515625	138	2	202	66	
BattleNet_IconDifficulty3	0.201172	0.015625	0.263672	0.515625	206	2	270	66	
BattleNet_IconDifficulty4	0.267578	0.015625	0.330078	0.515625	274	2	338	66	
BattleNet_IconDifficulty5	0.333984	0.015625	0.396484	0.515625	342	2	406	66	
BattleNet_IconAdventureMode	0.400391	0.015625	0.462891	0.515625	410	2	474	66	
BattleNet_IconCampaign1	0.466797	0.015625	0.529297	0.515625	478	2	542	66	
BattleNet_IconCampaign2	0.533203	0.015625	0.595703	0.515625	546	2	610	66	
BattleNet_IconCampaign3	0.599609	0.015625	0.662109	0.515625	614	2	678	66	
BattleNet_IconCampaign4	0.666016	0.015625	0.728516	0.515625	682	2	746	66	
BattleNet_IconCampaign5	0.732422	0.015625	0.794922	0.515625	750	2	814	66	
