Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetLogin_InputContainer	0.455078	0.378418	0.680664	0.554199	932	775	1394	1135	
BattleNetLogin_AuthenticatorContainer	0.228516	0.378418	0.454102	0.554199	468	775	930	1135	
BattleNetLogin_BreakingNewsBg	0.000488	0.562012	0.189941	0.781738	1	1151	389	1601	
BattleNetLogin_Legal	0.000488	0.000488	0.289551	0.377441	1	1	593	773	
BattleNetLogin_CheckboxCheckedDisabled	0.895020	0.000488	0.912598	0.018066	1833	1	1869	37	
BattleNetLogin_CheckboxCheckedOver	0.876465	0.000488	0.894043	0.018066	1795	1	1831	37	
BattleNetLogin_CheckboxCheckedUp	0.913574	0.000488	0.931152	0.018066	1871	1	1907	37	
BattleNetLogin_CheckboxDisabled	0.969238	0.000488	0.986816	0.018066	1985	1	2021	37	
BattleNetLogin_CheckboxOver	0.950684	0.000488	0.968262	0.018066	1947	1	1983	37	
BattleNetLogin_CheckboxUp	0.932129	0.000488	0.949707	0.018066	1909	1	1945	37	
BattleNetLogin_LogonStatusWindow	0.605957	0.000488	0.875488	0.213867	1241	1	1793	438	
BattleNetLogin_LogonStatusChecked	0.290527	0.273438	0.535645	0.312012	595	560	1097	639	
BattleNetLogin_LogonStatusInProgress	0.605957	0.214844	0.851074	0.253418	1241	440	1743	519	
BattleNetLogin_DialogPaperBg	0.290527	0.000488	0.604980	0.272461	595	1	1239	558	
BattleNetLogin_koKR	0.681641	0.378418	0.833008	0.462402	1396	775	1706	947	
BattleNetLogin_CaptchaFrame	0.000488	0.378418	0.227539	0.561035	1	775	466	1149	
