Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetModalNotifications_ExtraLargeDialog	0.000488	0.000488	0.357910	0.374023	1	1	733	766	
BattleNetModalNotifications_LargeDialog	0.358887	0.000488	0.628418	0.331055	735	1	1287	678	
BattleNetModalNotifications_MediumDialog	0.000488	0.375000	0.270020	0.651855	1	768	553	1335	
BattleNetModalNotifications_PartyInviteDialog	0.541504	0.437988	0.713379	0.522949	1109	897	1461	1071	
BattleNetModalNotifications_PartyInviteDialogBottom	0.358887	0.332031	0.598145	0.363281	735	680	1225	744	
BattleNetModalNotifications_SmallDialog	0.270996	0.375000	0.540527	0.534668	555	768	1107	1095	
BattleNetModalNotifications_InventoryDialog	0.629395	0.000488	0.905762	0.313965	1289	1	1855	643	
BattleNetModalNotifications_DialogBottom	0.541504	0.375000	0.811035	0.437012	1109	768	1661	895	
BattleNetModalNotifications_DialogTop	0.000488	0.652832	0.270020	0.921387	1	1337	553	1887	
BattleNetModalNotifications_DialogDivider	0.629395	0.314941	0.877441	0.320313	1289	645	1797	656	
BattleNetModal_DialogInputBox	0.599121	0.332031	0.761230	0.359863	1227	680	1559	737	
