Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetNotifications_QuestSelectRadioNormalOver	0.447266	0.390625	0.857422	0.462891	458	200	878	237	
BattleNetNotifications_QuestSelectRadioNormalUp	0.447266	0.542969	0.857422	0.615234	458	278	878	315	
BattleNetNotifications_QuestSelectRadioSelectedOver	0.447266	0.466797	0.857422	0.539063	458	239	878	276	
BattleNetNotifications_QuestSelectRadioSelectedUp	0.447266	0.013672	0.857422	0.085938	458	7	878	44	
BattleNetNotifications_QuestSelectWarningIcon	0.893555	0.126953	0.998047	0.322266	915	65	1022	165	
BattleNetNotifications_AddFriendEmailMessageBox	0.000977	0.013672	0.445313	0.123047	1	7	456	63	
BattleNetNotifications_AddFriendLargeMessageBox	0.447266	0.126953	0.891602	0.386719	458	65	913	198	
BattleNetNotifications_DialogDivider	0.000977	0.001953	0.497070	0.009766	1	1	509	5	
BattleNetNotifications_LargeMessageBox	0.000977	0.126953	0.445313	0.630859	1	65	456	323	
BattleNetNotifications_RightArrowDisabled	0.902344	0.013672	0.921875	0.062500	924	7	944	32	
BattleNetNotifications_RightArrowOver	0.859375	0.013672	0.878906	0.062500	880	7	900	32	
BattleNetNotifications_RightArrowUp	0.880859	0.013672	0.900391	0.062500	902	7	922	32	
