Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetProfile_Class_Background_Barbarian_Female	0.000977	0.000977	0.248535	0.213379	2	2	509	437	
BattleNetProfile_Class_Background_Barbarian_Male	0.250488	0.000977	0.498047	0.213379	513	2	1020	437	
BattleNetProfile_Class_Background_Crusader_Female	0.500000	0.000977	0.747559	0.213379	1024	2	1531	437	
BattleNetProfile_Class_Background_Crusader_Male	0.749512	0.000977	0.997070	0.213379	1535	2	2042	437	
BattleNetProfile_Class_Background_DemonHunter_Female	0.000977	0.215332	0.248535	0.427734	2	441	509	876	
BattleNetProfile_Class_Background_DemonHunter_Male	0.250488	0.215332	0.498047	0.427734	513	441	1020	876	
BattleNetProfile_Class_Background_Monk_Female	0.500000	0.215332	0.747559	0.427734	1024	441	1531	876	
BattleNetProfile_Class_Background_Monk_Male	0.749512	0.215332	0.997070	0.427734	1535	441	2042	876	
BattleNetProfile_Class_Background_Witchdoctor_Female	0.000977	0.429688	0.248535	0.642090	2	880	509	1315	
BattleNetProfile_Class_Background_Witchdoctor_Male	0.250488	0.429688	0.498047	0.642090	513	880	1020	1315	
BattleNetProfile_Class_Background_Wizard_Female	0.500000	0.429688	0.747559	0.642090	1024	880	1531	1315	
BattleNetProfile_Class_Background_Wizard_Male	0.749512	0.429688	0.997070	0.642090	1535	880	2042	1315	
BattleNetProfile_Class_Background_Necromancer_Female	0.000977	0.644043	0.248535	0.856445	2	1319	509	1754	
BattleNetProfile_Class_Background_Necromancer_Male	0.250488	0.644043	0.498047	0.856445	513	1319	1020	1754	
