Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetProfile_ProgressionSlotActI	0.376953	0.062500	0.560547	0.349609	386	64	574	358	
BattleNetProfile_ProgressionSlotActII	0.751953	0.062500	0.935547	0.349609	770	64	958	358	
BattleNetProfile_ProgressionSlotActIII	0.564453	0.062500	0.748047	0.349609	578	64	766	358	
BattleNetProfile_ProgressionSlotActIV	0.001953	0.062500	0.185547	0.349609	2	64	190	358	
BattleNetProfile_ProgressionSlotActV	0.189453	0.062500	0.373047	0.349609	194	64	382	358	
BattleNetProfile_ProgressionInfernoActI	0.639648	0.486328	0.827148	0.658203	655	498	847	674	
BattleNetProfile_ProgressionInfernoActII	0.447266	0.486328	0.635742	0.676758	458	498	651	693	
BattleNetProfile_ProgressionInfernoActIII	0.085938	0.486328	0.260742	0.687500	88	498	267	704	
BattleNetProfile_ProgressionInfernoActIV	0.264648	0.486328	0.443359	0.685547	271	498	454	702	
BattleNetProfile_ProgressionInfernoActV	0.001953	0.704102	0.162109	0.880859	2	721	166	902	
BattleNetProfile_HeroProgressBackground	0.001953	0.001953	0.440430	0.058594	2	2	451	60	
BattleNetProfile_HeroProgressContainer	0.001953	0.486328	0.082031	0.700195	2	498	84	717	
BattleNetProfile_HeroProgressEndCap	0.831055	0.486328	0.899414	0.555664	851	498	921	569	
BattleNetProfile_HeroProgressBarBarbarian	0.232422	0.386719	0.458984	0.416016	238	396	470	426	
BattleNetProfile_HeroProgressBarCrusader	0.232422	0.419922	0.458984	0.449219	238	430	470	460	
BattleNetProfile_HeroProgressBarDemonHunter	0.693359	0.386719	0.919922	0.416016	710	396	942	426	
BattleNetProfile_HeroProgressBarMonk	0.001953	0.419922	0.228516	0.449219	2	430	234	460	
BattleNetProfile_HeroProgressBarWitchDoctor	0.752930	0.001953	0.979492	0.031250	771	2	1003	32	
BattleNetProfile_HeroProgressBarWizard	0.462891	0.419922	0.689453	0.449219	474	430	706	460	
BattleNetProfile_HeroProgressBarNecromancer	0.693359	0.419922	0.919922	0.449219	710	430	942	460	
BattleNetProfile_HeroProgressFillBarbarian	0.001953	0.453125	0.228516	0.482422	2	464	234	494	
BattleNetProfile_HeroProgressFillCrusader	0.462891	0.386719	0.689453	0.416016	474	396	706	426	
BattleNetProfile_HeroProgressFillDemonHunter	0.001953	0.386719	0.228516	0.416016	2	396	234	426	
BattleNetProfile_HeroProgressFillMonk	0.693359	0.353516	0.919922	0.382813	710	362	942	392	
BattleNetProfile_HeroProgressFillWitchDoctor	0.462891	0.353516	0.689453	0.382813	474	362	706	392	
BattleNetProfile_HeroProgressFillWizard	0.232422	0.353516	0.458984	0.382813	238	362	470	392	
BattleNetProfile_HeroProgressFillNecromancer	0.001953	0.353516	0.228516	0.382813	2	362	234	392	
BattleNetProfile_ParagonFill	0.444336	0.001953	0.749023	0.031250	455	2	767	32	
