Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetProfile_CareerTabBackground_Mask	0.460938	0.392578	0.918945	0.451172	944	804	1882	924	
BattleNetProfile_CareerTabBackground	0.000977	0.000977	0.458984	0.390625	2	2	940	800	
BattleNetProfile_DefaultTabBackground	0.460938	0.000977	0.918945	0.390625	944	2	1882	800	
BattleNetProfile_HeroesTabBackground	0.000977	0.392578	0.458984	0.782227	2	804	940	1602	
BattleNetProfile_HeroesSkills	0.460938	0.453125	0.668945	0.739258	944	928	1370	1514	
BattleNetProfile_HeroesParagonHardcore	0.984863	0.000977	0.985352	0.001465	2017	2	2018	3	
BattleNetProfile_HeroesParagonHardcoreIcon	0.920898	0.000977	0.982910	0.056152	1886	2	2013	115	
BattleNetProfile_SubMenuListUp	0.670898	0.475098	0.823242	0.495117	1374	973	1686	1014	
BattleNetProfile_SubMenuListBack	0.825195	0.475098	0.977539	0.495117	1690	973	2002	1014	
BattleNetProfile_SubMenuListOver	0.825195	0.453125	0.977539	0.473145	1690	928	2002	969	
BattleNetProfile_SubMenuListSelected	0.670898	0.453125	0.823242	0.473145	1374	928	1686	969	
BattleNetProfile_TriMenuListUp	0.811035	0.497070	0.949219	0.517090	1661	1018	1944	1059	
BattleNetProfile_TriMenuListOver	0.670898	0.519043	0.809082	0.539063	1374	1063	1657	1104	
BattleNetProfile_TriMenuListSelected	0.670898	0.497070	0.809082	0.517090	1374	1018	1657	1059	
