Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetProfile_SkillIconFrame	0.745117	0.242188	0.775391	0.484375	1526	62	1588	124	
BattleNetProfile_BarbarianActive	0.548828	0.242188	0.596680	0.667969	1124	62	1222	171	
BattleNetProfile_BarbarianInactive	0.299805	0.242188	0.347656	0.667969	614	62	712	171	
BattleNetProfile_CrusaderActive	0.200195	0.242188	0.248047	0.667969	410	62	508	171	
BattleNetProfile_CrusaderInactive	0.000977	0.242188	0.048828	0.667969	2	62	100	171	
BattleNetProfile_DemonHunterActive	0.050781	0.242188	0.098633	0.667969	104	62	202	171	
BattleNetProfile_DemonHunterInactive	0.100586	0.242188	0.148438	0.667969	206	62	304	171	
BattleNetProfile_MonkActive	0.150391	0.242188	0.198242	0.667969	308	62	406	171	
BattleNetProfile_MonkInactive	0.598633	0.242188	0.646484	0.667969	1226	62	1324	171	
BattleNetProfile_WitchDoctorActive	0.250000	0.242188	0.297852	0.667969	512	62	610	171	
BattleNetProfile_WitchDoctorInactive	0.648438	0.242188	0.696289	0.667969	1328	62	1426	171	
BattleNetProfile_WizardActive	0.349609	0.242188	0.397461	0.667969	716	62	814	171	
BattleNetProfile_WizardInactive	0.399414	0.242188	0.447266	0.667969	818	62	916	171	
BattleNetProfile_NecromancerActive	0.449219	0.242188	0.497070	0.667969	920	62	1018	171	
BattleNetProfile_NecromancerInactive	0.499023	0.242188	0.546875	0.667969	1022	62	1120	171	
BattleNetProfile_LadderBar	0.862305	0.007813	0.966797	0.121094	1766	2	1980	31	
BattleNetProfile_LadderBarFill	0.862305	0.136719	0.959961	0.210938	1766	35	1966	54	
BattleNetProfile_LadderRow	0.000977	0.007813	0.429688	0.226563	2	2	880	58	
BattleNetProfile_LadderRowSelected	0.431641	0.007813	0.860352	0.226563	884	2	1762	58	
BattleNetProfile_DeadOnRosterMarker	0.698242	0.242188	0.743164	0.585938	1430	62	1522	150	
