Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetPublicChat_InviteListItemDown	0.000977	0.723633	0.448242	0.786133	1	741	459	805	
BattleNetPublicChat_InviteListItemOver	0.450195	0.659180	0.897461	0.721680	461	675	919	739	
BattleNetPublicChat_InviteListItemUp	0.000977	0.659180	0.448242	0.721680	1	675	459	739	
BattleNetPublicChat_MemberListDialog	0.478516	0.000977	0.824219	0.635742	490	1	844	651	
BattleNetPublicChat_MemberListItemDown	0.000977	0.788086	0.291992	0.850586	1	807	299	871	
BattleNetPublicChat_MemberListItemOver	0.293945	0.788086	0.584961	0.850586	301	807	599	871	
BattleNetPublicChat_MemberListItemUp	0.450195	0.723633	0.741211	0.786133	461	741	759	805	
BattleNetPublicChat_InviteButtonDisabled	0.826172	0.000977	0.871094	0.045898	846	1	892	47	
BattleNetPublicChat_InviteButtonDown	0.873047	0.094727	0.917969	0.139648	894	97	940	143	
BattleNetPublicChat_InviteButtonOver	0.873047	0.000977	0.917969	0.045898	894	1	940	47	
BattleNetPublicChat_InviteButtonUp	0.919922	0.000977	0.964844	0.045898	942	1	988	47	
BattleNetPublicChat_ActionsButtonDisabled	0.826172	0.047852	0.871094	0.092773	846	49	892	95	
BattleNetPublicChat_ActionsButtonDown	0.873047	0.047852	0.917969	0.092773	894	49	940	95	
BattleNetPublicChat_ActionsButtonOver	0.919922	0.047852	0.964844	0.092773	942	49	988	95	
BattleNetPublicChat_ActionsButtonUp	0.826172	0.094727	0.871094	0.139648	846	97	892	143	
BattleNetPublicChat_Frame	0.000977	0.000977	0.476563	0.657227	1	1	488	673	
