Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetQuestIcons_Act_3_Quest_0_Completed	0.000977	0.001953	0.114258	0.264648	2	2	234	271	
BattleNetQuestIcons_Act_3_Quest_1_Completed	0.116211	0.001953	0.229492	0.264648	238	2	470	271	
BattleNetQuestIcons_Act_3_Quest_1_Incomplete	0.231445	0.001953	0.344727	0.264648	474	2	706	271	
BattleNetQuestIcons_Act_3_Quest_2_Completed	0.346680	0.001953	0.459961	0.264648	710	2	942	271	
BattleNetQuestIcons_Act_3_Quest_2_Incomplete	0.461914	0.001953	0.575195	0.264648	946	2	1178	271	
BattleNetQuestIcons_Act_3_Quest_3_Completed	0.577148	0.001953	0.690430	0.264648	1182	2	1414	271	
BattleNetQuestIcons_Act_3_Quest_3_Incomplete	0.692383	0.001953	0.805664	0.264648	1418	2	1650	271	
BattleNetQuestIcons_Act_3_Quest_4_Completed	0.807617	0.001953	0.920898	0.264648	1654	2	1886	271	
BattleNetQuestIcons_Act_3_Quest_4_Incomplete	0.000977	0.268555	0.114258	0.531250	2	275	234	544	
BattleNetQuestIcons_Act_3_Quest_5_Completed	0.116211	0.268555	0.229492	0.531250	238	275	470	544	
BattleNetQuestIcons_Act_3_Quest_5_Incomplete	0.231445	0.268555	0.344727	0.531250	474	275	706	544	
BattleNetQuestIcons_Act_3_Quest_6_Completed	0.346680	0.268555	0.459961	0.531250	710	275	942	544	
BattleNetQuestIcons_Act_3_Quest_6_Incomplete	0.461914	0.268555	0.575195	0.531250	946	275	1178	544	
BattleNetQuestIcons_Act_3_Quest_7_Completed	0.577148	0.268555	0.690430	0.531250	1182	275	1414	544	
BattleNetQuestIcons_Act_3_Quest_7_Incomplete	0.692383	0.268555	0.805664	0.531250	1418	275	1650	544	
BattleNetQuestIcons_Act_3_Quest_4_Completed_QuestSelect	0.807617	0.268555	0.920898	0.531250	1654	275	1886	544	
BattleNetQuestIcons_Act_3_Quest_4_Incomplete_QuestSelect	0.000977	0.535156	0.114258	0.797852	2	548	234	817	
