Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetQuestSelection_QuestButtonDown	0.239258	0.279297	0.317871	0.595703	490	143	651	305	
BattleNetQuestSelection_QuestButtonOver	0.159668	0.279297	0.238281	0.595703	327	143	488	305	
BattleNetQuestSelection_QuestButtonUp	0.000488	0.279297	0.079102	0.595703	1	143	162	305	
BattleNetQuestSelection_QuestButtonDisabled	0.080078	0.279297	0.158691	0.595703	164	143	325	305	
BattleNetQuestSelection_QuestStepButtonDown	0.442871	0.001953	0.475098	0.130859	907	1	973	67	
BattleNetQuestSelection_QuestStepButtonOver	0.409668	0.001953	0.441895	0.130859	839	1	905	67	
BattleNetQuestSelection_QuestStepButtonUp	0.376465	0.001953	0.408691	0.130859	771	1	837	67	
BattleNetQuestSelection_QuestStepButtonIconDown	0.343262	0.001953	0.375488	0.130859	703	1	769	67	
BattleNetQuestSelection_QuestStepButtonIconOver	0.310059	0.001953	0.342285	0.130859	635	1	701	67	
BattleNetQuestSelection_QuestStepButtonIconUp	0.276855	0.001953	0.309082	0.130859	567	1	633	67	
BattleNetQuestSelection_SavedProgressIcon	0.496582	0.001953	0.516113	0.080078	1017	1	1057	41	
BattleNetQuestSelection_TabActI_Up	0.600098	0.279297	0.645996	0.562500	1229	143	1323	288	
BattleNetQuestSelection_TabActI_Over	0.646973	0.279297	0.692871	0.562500	1325	143	1419	288	
BattleNetQuestSelection_TabActI_Down	0.693848	0.279297	0.739746	0.562500	1421	143	1515	288	
BattleNetQuestSelection_TabActI_Disabled	0.740723	0.279297	0.786621	0.562500	1517	143	1611	288	
BattleNetQuestSelection_TabActII_Up	0.787598	0.279297	0.833496	0.562500	1613	143	1707	288	
BattleNetQuestSelection_TabActII_Over	0.834473	0.279297	0.880371	0.562500	1709	143	1803	288	
BattleNetQuestSelection_TabActII_Down	0.881348	0.279297	0.927246	0.562500	1805	143	1899	288	
BattleNetQuestSelection_TabActII_Disabled	0.928223	0.279297	0.974121	0.562500	1901	143	1995	288	
BattleNetQuestSelection_TabActIII_Up	0.000488	0.599609	0.046387	0.882813	1	307	95	452	
BattleNetQuestSelection_TabActIII_Over	0.047363	0.599609	0.093262	0.882813	97	307	191	452	
BattleNetQuestSelection_TabActIII_Down	0.553223	0.279297	0.599121	0.562500	1133	143	1227	288	
BattleNetQuestSelection_TabActIII_Disabled	0.506348	0.279297	0.552246	0.562500	1037	143	1131	288	
BattleNetQuestSelection_TabActIV_Up	0.459473	0.279297	0.505371	0.562500	941	143	1035	288	
BattleNetQuestSelection_TabActIV_Over	0.412598	0.279297	0.458496	0.562500	845	143	939	288	
BattleNetQuestSelection_TabActIV_Down	0.365723	0.279297	0.411621	0.562500	749	143	843	288	
BattleNetQuestSelection_TabActIV_Disabled	0.318848	0.279297	0.364746	0.562500	653	143	747	288	
BattleNetQuestSelection_DifficultyMenuBg	0.000488	0.001953	0.275879	0.275391	1	1	565	141	
BattleNetQuestSelection_HardcoreIcon	0.476074	0.001953	0.495605	0.080078	975	1	1015	41	
