Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetStore_ProductStone	0.000000	0.277832	0.161133	0.438965	0	569	330	899	
BattleNetStore_PortraitStone	0.161133	0.277832	0.322266	0.438965	330	569	660	899	
BattleNetStore_CalendarIconbg	0.969238	0.030273	0.999023	0.060547	1985	62	2046	124	
BattleNetStore_CalendarIcon	0.969238	0.000000	0.995605	0.030273	1985	0	2039	62	
BattleNetStore_ProductIconAddCharacterSlot	0.416016	0.277832	0.509766	0.371582	852	569	1044	761	
BattleNetStore_ProductIconAddStashPage	0.322266	0.277832	0.416016	0.371582	660	569	852	761	
BattleNetStore_TreeIconPremiumPass	0.969238	0.060547	0.991211	0.086914	1985	124	2030	178	
BattleNetStore_UpsellIconPremiumPass	0.969238	0.086914	0.989258	0.110352	1985	178	2026	226	
BattleNetStore_ProductIconPremiumPass	0.509766	0.277832	0.603516	0.371582	1044	569	1236	761	
BattleNetStore_DefaultAdventurePass1	0.603516	0.277832	0.697266	0.371582	1236	569	1428	761	
BattleNetStore_DefaultAdventurePass2	0.697266	0.277832	0.791016	0.371582	1428	569	1620	761	
BattleNetStore_DefaultAdventurePass3	0.791016	0.277832	0.884766	0.371582	1620	569	1812	761	
BattleNetStore_DefaultAdventurePass4	0.884766	0.277832	0.978516	0.371582	1812	569	2004	761	
BattleNetStore_ProductIconXP1	0.000000	0.438965	0.093750	0.532715	0	899	192	1091	
BattleNetStore_ProductIconXP2	0.468750	0.532715	0.562500	0.626465	960	1091	1152	1283	
BattleNetStore_ProductIconXP3	0.187500	0.438965	0.281250	0.532715	384	899	576	1091	
BattleNetStore_ProductIconBloodShard1	0.281250	0.438965	0.375000	0.532715	576	899	768	1091	
BattleNetStore_ProductIconBloodShard2	0.375000	0.438965	0.468750	0.532715	768	899	960	1091	
BattleNetStore_ProductIconBloodShard3	0.468750	0.438965	0.562500	0.532715	960	899	1152	1091	
BattleNetStore_ProductIconGold1	0.562500	0.438965	0.656250	0.532715	1152	899	1344	1091	
BattleNetStore_ProductIconGold2	0.656250	0.438965	0.750000	0.532715	1344	899	1536	1091	
BattleNetStore_ProductIconGold3	0.750000	0.438965	0.843750	0.532715	1536	899	1728	1091	
BattleNetStore_ProductIconPlatinum1	0.843750	0.438965	0.937500	0.532715	1728	899	1920	1091	
BattleNetStore_ProductIconPlatinum2	0.000000	0.532715	0.093750	0.626465	0	1091	192	1283	
BattleNetStore_ProductIconPlatinum3	0.093750	0.532715	0.187500	0.626465	192	1091	384	1283	
BattleNetStore_ProductIconPlatinum4	0.187500	0.532715	0.281250	0.626465	384	1091	576	1283	
BattleNetStore_ProductIconPlatinum5	0.281250	0.532715	0.375000	0.626465	576	1091	768	1283	
BattleNetStore_ProductIconPlatinum6	0.375000	0.532715	0.468750	0.626465	768	1091	960	1283	
BattleNetStore_PreviewGeneric	0.000000	0.000000	0.213379	0.277832	0	0	437	569	
BattleNetStore_CharacterBG	0.213379	0.000000	0.485840	0.268555	437	0	995	550	
BattleNetStore_StashBG	0.485840	0.000000	0.758301	0.268555	995	0	1553	550	
BattleNetStore_PreviewStone	0.758301	0.000000	0.969238	0.262207	1553	0	1985	537	
BattleNetStore_ProductIconReaperOfSouls	0.093750	0.438965	0.187500	0.532715	192	899	384	1091	
BattleNetStore_ProductIconBattlechest	0.562500	0.532715	0.656250	0.626465	1152	1091	1344	1283	
