Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetStore_NecroPurchaseBaseBG	0.000977	0.000977	0.501465	0.394531	2	2	1027	808	
BattleNetStore_NecroPurchaseFooterBG	0.503418	0.000977	0.989746	0.037109	1031	2	2027	76	
BattleNetStore_NecroPurchase_TextGlow	0.503418	0.039063	0.938965	0.078613	1031	80	1923	161	
BattleNetStore_NecroPurchase_ListIcon_Necro_Active	0.894043	0.104492	0.916016	0.126465	1831	214	1876	259	
BattleNetStore_NecroPurchase_ListIcon_Necro_Inactive	0.870117	0.104492	0.892090	0.126465	1782	214	1827	259	
BattleNetStore_NecroPurchase_ListIcon_PetGolem_Active	0.846191	0.104492	0.868164	0.126465	1733	214	1778	259	
BattleNetStore_NecroPurchase_ListIcon_PetGolem_Inactive	0.822266	0.104492	0.844238	0.126465	1684	214	1729	259	
BattleNetStore_NecroPurchase_ListIcon_Banner_Active	0.846191	0.080566	0.868164	0.102539	1733	165	1778	210	
BattleNetStore_NecroPurchase_ListIcon_Banner_Inactive	0.940918	0.039063	0.962891	0.061035	1927	80	1972	125	
BattleNetStore_NecroPurchase_ListIcon_Pennant_Active	0.964844	0.039063	0.986816	0.061035	1976	80	2021	125	
BattleNetStore_NecroPurchase_ListIcon_Pennant_Inactive	0.798340	0.080566	0.820313	0.102539	1635	165	1680	210	
BattleNetStore_NecroPurchase_ListIcon_PortraitFrame_Active	0.822266	0.080566	0.844238	0.102539	1684	165	1729	210	
BattleNetStore_NecroPurchase_ListIcon_PortraitFrame_Inactive	0.917969	0.104492	0.939941	0.126465	1880	214	1925	259	
BattleNetStore_NecroPurchase_ListIcon_StashTabs_Active	0.870117	0.080566	0.892090	0.102539	1782	165	1827	210	
BattleNetStore_NecroPurchase_ListIcon_StashTabs_Inactive	0.894043	0.080566	0.916016	0.102539	1831	165	1876	210	
BattleNetStore_NecroPurchase_ListIcon_CharacterSlots_Active	0.917969	0.080566	0.939941	0.102539	1880	165	1925	210	
BattleNetStore_NecroPurchase_ListIcon_CharacterSlots_Inactive	0.941895	0.080566	0.963867	0.102539	1929	165	1974	210	
BattleNetStore_NecroPurchase_ListIcon_BoneWings_Active	0.965820	0.080566	0.987793	0.102539	1978	165	2023	210	
BattleNetStore_NecroPurchase_ListIcon_BoneWings_Inactive	0.798340	0.104492	0.820313	0.126465	1635	214	1680	259	
BattleNetStore_NecroPurchase_Display_Banner	0.590820	0.396484	0.883789	0.682617	1210	812	1810	1398	
BattleNetStore_NecroPurchase_Display_PortraitFrame	0.295898	0.396484	0.588867	0.682617	606	812	1206	1398	
BattleNetStore_NecroPurchase_Display_CharacterSlots	0.000977	0.396484	0.293945	0.682617	2	812	602	1398	
BattleNetStore_NecroPurchase_Display_StashTabs	0.503418	0.080566	0.796387	0.366699	1031	165	1631	751	
BattleNetStore_NecroPurchase_Display_Pennant	0.000977	0.684570	0.293945	0.970703	2	1402	602	1988	
