Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetStore_TitleFade	0.503906	0.678711	0.708984	0.720215	1032	1390	1452	1475	
BattleNetStore_Previewfade	0.485840	0.780762	0.638184	0.810547	995	1599	1307	1660	
BattleNetStore_Invertfade	0.296875	0.678711	0.501953	0.720215	608	1390	1028	1475	
BattleNetExtendedExperience_LeftNavContainer_Plain	0.678223	0.000977	0.853027	0.395020	1389	2	1747	809	
BattleNetStore_CurrentlyEquippedCheck	0.946289	0.237793	0.970215	0.261230	1938	487	1987	535	
BattleNetStore_CurrentlyEquippedFrame	0.854980	0.202637	0.944336	0.295410	1751	415	1934	605	
BattleNetStore_CurrentlyEquippedFrame_Over	0.577148	0.812500	0.666504	0.905273	1182	1664	1365	1854	
BattleNetStore_CurrentlyEquippedFrame_SelectedOver	0.668457	0.812500	0.757813	0.905273	1369	1664	1552	1854	
BattleNetStore_JumpToIcon	0.972168	0.237793	0.987305	0.249512	1991	487	2022	511	
BattleNetStore_JumpToIconDisabled	0.981445	0.217773	0.996582	0.229492	2010	446	2041	470	
BattleNetStore_RefreshIcon	0.981445	0.162109	0.996582	0.173828	2010	332	2041	356	
BattleNetStore_RefreshIconDisabled	0.974609	0.178223	0.989746	0.189941	1996	365	2027	389	
BattleNetStore_NewItemBanner	0.981445	0.071289	0.996582	0.091309	2010	146	2041	187	
BattleNetStore_GridBorder	0.000977	0.398926	0.294922	0.778809	2	817	604	1595	
BattleNetStore_GridFrameBlue	0.759766	0.812500	0.849121	0.905273	1556	1664	1739	1854	
BattleNetStore_GridFrameBlue_Over	0.854980	0.107910	0.944336	0.200684	1751	221	1934	411	
BattleNetStore_GridFrameBlue_Selected	0.485840	0.812500	0.575195	0.905273	995	1664	1178	1854	
BattleNetStore_GridFrameGold	0.854980	0.297363	0.944336	0.390137	1751	609	1934	799	
BattleNetStore_GridFrameGold_Over	0.851074	0.812500	0.940430	0.905273	1743	1664	1926	1854	
BattleNetStore_GridFrameGold_Selected	0.854980	0.013184	0.944336	0.105957	1751	27	1934	217	
BattleNetStore_OwnedRibbon	0.892090	0.693359	0.970215	0.706055	1827	1420	1987	1446	
BattleNetStore_NotOwnedRibbon	0.892090	0.678711	0.970215	0.691406	1827	1390	1987	1416	
BattleNetStore_NewItem	0.981445	0.093262	0.993164	0.104492	2010	191	2034	214	
BattleNetStore_PremiumPassCornerul	0.946289	0.071289	0.979492	0.104492	1938	146	2006	214	
BattleNetStore_PremiumPassCornerur	0.946289	0.107910	0.979492	0.141113	1938	221	2006	289	
BattleNetStore_PremiumPassCornerbl	0.946289	0.143066	0.979492	0.176270	1938	293	2006	361	
BattleNetStore_PremiumPassCornerbr	0.946289	0.202637	0.979492	0.235840	1938	415	2006	483	
BattleNetStore_LeatherBG	0.000977	0.000977	0.676270	0.396973	2	2	1385	813	
BattleNetStore_PreviewBaseFrame	0.727539	0.398926	0.940918	0.676758	1490	817	1927	1386	
BattleNetStore_OwnedPreviewRibbon	0.471680	0.722168	0.644531	0.749512	966	1479	1320	1535	
BattleNetStore_NotOwnedPreviewRibbon	0.296875	0.722168	0.469727	0.749512	608	1479	962	1535	
BattleNetStore_OwnedSectionRibbonbg	0.710938	0.678711	0.890137	0.708496	1456	1390	1823	1451	
BattleNetStore_PreviewFrame	0.512207	0.398926	0.725586	0.676758	1049	817	1486	1386	
BattleNetStore_PreviewRActor	0.296875	0.398926	0.510254	0.676758	608	817	1045	1386	
BattleNetStore_TitleBreak	0.710938	0.710449	0.876465	0.715332	1456	1455	1795	1465	
BattleNetStore_TitleBreakSm	0.646484	0.722168	0.802734	0.728027	1324	1479	1644	1491	
BattleNetStore_TitleBreak1	0.854980	0.000977	0.959961	0.011230	1751	2	1966	23	
BattleNetStore_BackIcon	0.981445	0.202637	0.996582	0.215820	2010	415	2041	442	
BattleNetStore_PlatinumDiscountBanner	0.946289	0.013184	0.992188	0.069336	1938	27	2032	142	
BattleNetStore_GridDiscountBanner	0.946289	0.178223	0.972656	0.196777	1938	365	1992	403	
BattleNetStore_CurrencyFrameBlue_327x282	0.000977	0.780762	0.160645	0.918457	2	1599	329	1881	
BattleNetStore_CurrencyFrameBlue_Over_327x282	0.162598	0.780762	0.322266	0.918457	333	1599	660	1881	
BattleNetStore_CurrencyFrameBlue_Selected_327x282	0.324219	0.780762	0.483887	0.918457	664	1599	991	1881	
BattleNetStore_Equipped_BorderTop	0.804688	0.722168	0.872559	0.725586	1648	1479	1787	1486	
BattleNetStore_Equipped_BorderBottom	0.878418	0.710449	0.946289	0.713867	1799	1455	1938	1462	
BattleNetStore_Equipped_ClaspTop	0.981445	0.107910	0.993652	0.125000	2010	221	2035	256	
BattleNetStore_Equipped_ClaspBottom	0.981445	0.143066	0.991699	0.160156	2010	293	2031	328	
BattleNetStore_Equipped_VertClaspTop	0.981445	0.126953	0.998535	0.139160	2010	260	2045	285	
BattleNetStore_Equipped_VertClaspBottom	0.961914	0.000977	0.979004	0.011230	1970	2	2005	23	
