Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetToasts_Container	0.000488	0.007813	0.258301	0.757813	1	1	529	97	
BattleNetToasts_IconAuctionHouse	0.259277	0.007813	0.296875	0.609375	531	1	608	78	
BattleNetToasts_IconBattleNet	0.297852	0.007813	0.335449	0.609375	610	1	687	78	
BattleNetToasts_IconCallToArms	0.336426	0.007813	0.374023	0.609375	689	1	766	78	
BattleNetToasts_IconJoinRequestSent	0.375000	0.007813	0.412598	0.609375	768	1	845	78	
BattleNetToasts_IconJoinRequestDeclined	0.413574	0.007813	0.451172	0.609375	847	1	924	78	
BattleNetToasts_IconRealIDRequest	0.452148	0.007813	0.489746	0.609375	926	1	1003	78	
BattleNetToasts_IconSigil	0.683594	0.007813	0.717773	0.554688	1400	1	1470	71	
BattleNetToasts_ContainerCloseBorder	0.750977	0.007813	0.764160	0.226563	1538	1	1565	29	
BattleNetToasts_IconD3	0.567871	0.007813	0.605469	0.609375	1163	1	1240	78	
BattleNetToasts_IconHS	0.606445	0.007813	0.644043	0.609375	1242	1	1319	78	
BattleNetToasts_IconSC2	0.645020	0.007813	0.682617	0.609375	1321	1	1398	78	
BattleNetToasts_IconWoW	0.529297	0.007813	0.566895	0.609375	1084	1	1161	78	
BattleNetToasts_IconHeroes	0.718750	0.007813	0.750000	0.507813	1472	1	1536	65	
BattleNetToasts_IconOverwatch	0.490723	0.007813	0.528320	0.609375	1005	1	1082	78	
