Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
SplitTimer_Frame	0.699219	0.184082	0.855957	0.218262	1432	377	1753	447	
SplitTimer_Ahead	0.904297	0.148926	0.940430	0.163574	1852	305	1926	335	
SplitTimer_Behind	0.942383	0.148926	0.978516	0.163574	1930	305	2004	335	
SplitTimer_TimeMarker	0.977539	0.000977	0.991211	0.031250	2002	2	2030	64	
ChallengeRifts_Reward_Background_p2	0.000977	0.000977	0.697266	0.472168	2	2	1428	967	
ChallengeRifts_Reward_PartyBackground	0.000977	0.474121	0.672852	0.695313	2	971	1378	1424	
ChallengeRifts_KillMeter	0.699219	0.148926	0.856445	0.164551	1432	305	1754	337	
ChallengeRifts_KillMeterFlash	0.699219	0.166504	0.856445	0.182129	1432	341	1754	373	
ChallengeRifts_KillMeterGlow	0.699219	0.000977	0.975586	0.146973	1432	2	1998	301	
ChallengeRifts_KillMeterShine	0.858398	0.148926	0.902344	0.164551	1758	305	1848	337	
