Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
DevilsHand_Background	0.000977	0.383789	0.480469	0.766113	1	786	492	1569	
DevilsHand_DetailsBackground	0.000977	0.000488	0.480469	0.382813	1	1	492	784	
DevilsHand_BackgroundPickACard	0.482422	0.000488	0.961914	0.382813	494	1	985	784	
DevilsHand_ListItemBackground	0.482422	0.475586	0.882813	0.520508	494	974	904	1066	
DevilsHand_ListItemBackgroundAllMats	0.482422	0.383789	0.882813	0.428711	494	786	904	878	
DevilsHand_ListItemSelection	0.482422	0.429688	0.882813	0.474609	494	880	904	972	
DevilsHand_SetCardSevenSins	0.759766	0.645020	0.906250	0.737793	778	1321	928	1511	
DevilsHand_WaxSeal	0.884766	0.383789	0.951172	0.419434	906	786	974	859	
DevilsHand_Pins	0.482422	0.521484	0.625000	0.644043	494	1068	640	1319	
DevilsHand_SetCardBlackKingsReign	0.765625	0.521484	0.902344	0.633301	784	1068	924	1297	
DevilsHand_SetCardImplementsOfTheDarkCoven	0.482422	0.645020	0.619141	0.756836	494	1321	634	1550	
DevilsHand_SetCardSevenDeadlySins	0.621094	0.645020	0.757813	0.756836	636	1321	776	1550	
DevilsHand_SetCardThreeOaths	0.626953	0.521484	0.763672	0.633301	642	1068	782	1297	
DevilsHand_Tag0	0.884766	0.475586	0.939453	0.492188	906	974	962	1008	
DevilsHand_Tag1	0.941406	0.493164	0.996094	0.509766	964	1010	1020	1044	
DevilsHand_Tag2	0.941406	0.447266	0.996094	0.463867	964	916	1020	950	
DevilsHand_Tag3	0.941406	0.429688	0.996094	0.446289	964	880	1020	914	
DevilsHand_Tag4	0.884766	0.447266	0.939453	0.463867	906	916	962	950	
DevilsHand_Tag5	0.884766	0.429688	0.939453	0.446289	906	880	962	914	
DevilsHand_Tag6	0.884766	0.493164	0.939453	0.509766	906	1010	962	1044	
DevilsHand_Tag7	0.941406	0.475586	0.996094	0.492188	964	974	1020	1008	
DevilsHand_Card_back	0.247070	0.807129	0.368164	0.894531	253	1653	377	1832	
DevilsHand_Card_blank	0.000977	0.807129	0.122070	0.894531	1	1653	125	1832	
DevilsHand_Card_mouseover	0.124023	0.807129	0.245117	0.894531	127	1653	251	1832	
DevilsHand_CollectionButton_Normal	0.370117	0.767090	0.552734	0.806152	379	1571	566	1651	
DevilsHand_CollectionButton_Pushed	0.185547	0.767090	0.368164	0.806152	190	1571	377	1651	
DevilsHand_CollectionButton_Mouseover	0.000977	0.767090	0.183594	0.806152	1	1571	188	1651	
DevilsHand_SelectRay	0.904297	0.521484	0.997070	0.611816	926	1068	1021	1253	
DevilsHand_Check_Green	0.963867	0.013672	0.988281	0.025879	987	28	1012	53	
DevilsHand_Check_Gray	0.963867	0.000488	0.988281	0.012695	987	1	1012	26	
