Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Elixir_Attack_01	0.001953	0.007813	0.064453	0.257813	2	2	66	66	
Elixir_Attack_02	0.068359	0.007813	0.130859	0.257813	70	2	134	66	
Elixir_Attack_03	0.134766	0.007813	0.197266	0.257813	138	2	202	66	
Elixir_Attack_04	0.201172	0.007813	0.263672	0.257813	206	2	270	66	
Elixir_Attack_05	0.267578	0.007813	0.330078	0.257813	274	2	338	66	
Elixir_Defense_01	0.333984	0.007813	0.396484	0.257813	342	2	406	66	
Elixir_Defense_02	0.400391	0.007813	0.462891	0.257813	410	2	474	66	
Elixir_Defense_03	0.466797	0.007813	0.529297	0.257813	478	2	542	66	
Elixir_Defense_04	0.533203	0.007813	0.595703	0.257813	546	2	610	66	
Elixir_Defense_05	0.599609	0.007813	0.662109	0.257813	614	2	678	66	
Elixir_Precision_01	0.666016	0.007813	0.728516	0.257813	682	2	746	66	
Elixir_Precision_02	0.732422	0.007813	0.794922	0.257813	750	2	814	66	
Elixir_Precision_03	0.798828	0.007813	0.861328	0.257813	818	2	882	66	
Elixir_Precision_04	0.865234	0.007813	0.927734	0.257813	886	2	950	66	
Elixir_Precision_05	0.931641	0.007813	0.994141	0.257813	954	2	1018	66	
Elixir_Vitality_01	0.001953	0.273438	0.064453	0.523438	2	70	66	134	
Elixir_Vitality_02	0.068359	0.273438	0.130859	0.523438	70	70	134	134	
Elixir_Vitality_03	0.134766	0.273438	0.197266	0.523438	138	70	202	134	
Elixir_Vitality_04	0.201172	0.273438	0.263672	0.523438	206	70	270	134	
Elixir_Vitality_05	0.267578	0.273438	0.330078	0.523438	274	70	338	134	
Elixir_Willpower_01	0.333984	0.273438	0.396484	0.523438	342	70	406	134	
Elixir_Willpower_02	0.400391	0.273438	0.462891	0.523438	410	70	474	134	
Elixir_Willpower_03	0.466797	0.273438	0.529297	0.523438	478	70	542	134	
Elixir_Willpower_04	0.533203	0.273438	0.595703	0.523438	546	70	610	134	
Elixir_Willpower_05	0.599609	0.273438	0.662109	0.523438	614	70	678	134	
Elixir_Regeneration_01	0.666016	0.273438	0.728516	0.523438	682	70	746	134	
Elixir_Regeneration_02	0.732422	0.273438	0.794922	0.523438	750	70	814	134	
Elixir_Regeneration_03	0.798828	0.273438	0.861328	0.523438	818	70	882	134	
Elixir_Regeneration_04	0.865234	0.273438	0.927734	0.523438	886	70	950	134	
Elixir_Regeneration_05	0.931641	0.273438	0.994141	0.523438	954	70	1018	134	
Elixir_Superiority_01	0.001953	0.539063	0.064453	0.789063	2	138	66	202	
Elixir_Superiority_02	0.068359	0.539063	0.130859	0.789063	70	138	134	202	
Elixir_Superiority_03	0.134766	0.539063	0.197266	0.789063	138	138	202	202	
Elixir_Superiority_04	0.201172	0.539063	0.263672	0.789063	206	138	270	202	
Elixir_Superiority_05	0.267578	0.539063	0.330078	0.789063	274	138	338	202	
Elixir_Fear_05	0.333984	0.539063	0.396484	0.789063	342	138	406	202	
