Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
	0.000000	0.000000	0.045898	0.734375	0	0	94	94	
	0.045898	0.000000	0.091797	0.734375	94	0	188	94	
	0.091797	0.000000	0.137695	0.734375	188	0	282	94	
	0.137695	0.000000	0.183594	0.734375	282	0	376	94	
	0.183594	0.000000	0.229492	0.734375	376	0	470	94	
	0.229492	0.000000	0.275391	0.734375	470	0	564	94	
	0.275391	0.000000	0.321289	0.734375	564	0	658	94	
	0.321289	0.000000	0.367188	0.734375	658	0	752	94	
	0.367188	0.000000	0.413086	0.734375	752	0	846	94	
	0.413086	0.000000	0.458984	0.734375	846	0	940	94	
	0.458984	0.000000	0.504883	0.734375	940	0	1034	94	
	0.504883	0.000000	0.550781	0.734375	1034	0	1128	94	
	0.550781	0.000000	0.596680	0.734375	1128	0	1222	94	
	0.596680	0.000000	0.642578	0.734375	1222	0	1316	94	
	0.642578	0.000000	0.688477	0.734375	1316	0	1410	94	
	0.688477	0.000000	0.734375	0.734375	1410	0	1504	94	
	0.734375	0.000000	0.780273	0.734375	1504	0	1598	94	
	0.780273	0.000000	0.826172	0.734375	1598	0	1692	94	
	0.826172	0.000000	0.872070	0.734375	1692	0	1786	94	
	0.872070	0.000000	0.917969	0.734375	1786	0	1880	94	
