Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
2DUI_HealthGlobe_00000_Classic	0.000000	0.000000	0.046875	0.191406	0	0	96	98	
2DUI_HealthGlobe_00001_Classic	0.046875	0.000000	0.093750	0.191406	96	0	192	98	
2DUI_HealthGlobe_00002_Classic	0.093750	0.000000	0.140625	0.191406	192	0	288	98	
2DUI_HealthGlobe_00003_Classic	0.140625	0.000000	0.187500	0.191406	288	0	384	98	
2DUI_HealthGlobe_00004_Classic	0.187500	0.000000	0.234375	0.191406	384	0	480	98	
2DUI_HealthGlobe_00005_Classic	0.234375	0.000000	0.281250	0.191406	480	0	576	98	
2DUI_HealthGlobe_00006_Classic	0.281250	0.000000	0.328125	0.191406	576	0	672	98	
2DUI_HealthGlobe_00007_Classic	0.328125	0.000000	0.375000	0.191406	672	0	768	98	
2DUI_HealthGlobe_00008_Classic	0.375000	0.000000	0.421875	0.191406	768	0	864	98	
2DUI_HealthGlobe_00009_Classic	0.421875	0.000000	0.468750	0.191406	864	0	960	98	
2DUI_HealthGlobe_00010_Classic	0.468750	0.000000	0.515625	0.191406	960	0	1056	98	
2DUI_HealthGlobe_00011_Classic	0.515625	0.000000	0.562500	0.191406	1056	0	1152	98	
2DUI_HealthGlobe_00012_Classic	0.562500	0.000000	0.609375	0.191406	1152	0	1248	98	
2DUI_HealthGlobe_00013_Classic	0.609375	0.000000	0.656250	0.191406	1248	0	1344	98	
2DUI_HealthGlobe_00014_Classic	0.656250	0.000000	0.703125	0.191406	1344	0	1440	98	
2DUI_HealthGlobe_00015_Classic	0.703125	0.000000	0.750000	0.191406	1440	0	1536	98	
2DUI_HealthGlobe_00016_Classic	0.750000	0.000000	0.796875	0.191406	1536	0	1632	98	
2DUI_HealthGlobe_00017_Classic	0.796875	0.000000	0.843750	0.191406	1632	0	1728	98	
2DUI_HealthGlobe_00018_Classic	0.843750	0.000000	0.890625	0.191406	1728	0	1824	98	
2DUI_HealthGlobe_00019_Classic	0.890625	0.000000	0.937500	0.191406	1824	0	1920	98	
2DUI_HealthGlobe_00020_Classic	0.937500	0.000000	0.984375	0.191406	1920	0	2016	98	
2DUI_HealthGlobe_00021_Classic	0.000000	0.191406	0.046875	0.382813	0	98	96	196	
2DUI_HealthGlobe_00022_Classic	0.046875	0.191406	0.093750	0.382813	96	98	192	196	
2DUI_HealthGlobe_00023_Classic	0.093750	0.191406	0.140625	0.382813	192	98	288	196	
2DUI_HealthGlobe_00024_Classic	0.140625	0.191406	0.187500	0.382813	288	98	384	196	
2DUI_HealthGlobe_00025_Classic	0.187500	0.191406	0.234375	0.382813	384	98	480	196	
2DUI_HealthGlobe_00026_Classic	0.234375	0.191406	0.281250	0.382813	480	98	576	196	
2DUI_HealthGlobe_00027_Classic	0.281250	0.191406	0.328125	0.382813	576	98	672	196	
2DUI_HealthGlobe_00028_Classic	0.328125	0.191406	0.375000	0.382813	672	98	768	196	
2DUI_HealthGlobe_00029_Classic	0.375000	0.191406	0.421875	0.382813	768	98	864	196	
2DUI_HealthGlobe_00030_Classic	0.421875	0.191406	0.468750	0.382813	864	98	960	196	
2DUI_HealthGlobe_00031_Classic	0.468750	0.191406	0.515625	0.382813	960	98	1056	196	
2DUI_HealthGlobe_00032_Classic	0.515625	0.191406	0.562500	0.382813	1056	98	1152	196	
2DUI_HealthGlobe_00033_Classic	0.562500	0.191406	0.609375	0.382813	1152	98	1248	196	
2DUI_HealthGlobe_00034_Classic	0.609375	0.191406	0.656250	0.382813	1248	98	1344	196	
2DUI_HealthGlobe_00035_Classic	0.656250	0.191406	0.703125	0.382813	1344	98	1440	196	
2DUI_HealthGlobe_00036_Classic	0.703125	0.191406	0.750000	0.382813	1440	98	1536	196	
2DUI_HealthGlobe_00037_Classic	0.750000	0.191406	0.796875	0.382813	1536	98	1632	196	
2DUI_HealthGlobe_00038_Classic	0.796875	0.191406	0.843750	0.382813	1632	98	1728	196	
2DUI_HealthGlobe_00039_Classic	0.843750	0.191406	0.890625	0.382813	1728	98	1824	196	
2DUI_HealthGlobe_00040_Classic	0.890625	0.191406	0.937500	0.382813	1824	98	1920	196	
2DUI_HealthGlobe_00041_Classic	0.937500	0.191406	0.984375	0.382813	1920	98	2016	196	
2DUI_HealthGlobe_00042_Classic	0.000000	0.382813	0.046875	0.574219	0	196	96	294	
2DUI_HealthGlobe_00043_Classic	0.046875	0.382813	0.093750	0.574219	96	196	192	294	
2DUI_HealthGlobe_00044_Classic	0.093750	0.382813	0.140625	0.574219	192	196	288	294	
2DUI_HealthGlobe_00045_Classic	0.140625	0.382813	0.187500	0.574219	288	196	384	294	
2DUI_HealthGlobe_00046_Classic	0.187500	0.382813	0.234375	0.574219	384	196	480	294	
2DUI_HealthGlobe_00047_Classic	0.234375	0.382813	0.281250	0.574219	480	196	576	294	
2DUI_HealthGlobe_00048_Classic	0.281250	0.382813	0.328125	0.574219	576	196	672	294	
2DUI_HealthGlobe_00049_Classic	0.328125	0.382813	0.375000	0.574219	672	196	768	294	
2DUI_HealthGlobe_00050_Classic	0.375000	0.382813	0.421875	0.574219	768	196	864	294	
2DUI_HealthGlobe_00051_Classic	0.421875	0.382813	0.468750	0.574219	864	196	960	294	
2DUI_HealthGlobe_00052_Classic	0.468750	0.382813	0.515625	0.574219	960	196	1056	294	
2DUI_HealthGlobe_00053_Classic	0.515625	0.382813	0.562500	0.574219	1056	196	1152	294	
2DUI_HealthGlobe_00054_Classic	0.562500	0.382813	0.609375	0.574219	1152	196	1248	294	
2DUI_HealthGlobe_00055_Classic	0.609375	0.382813	0.656250	0.574219	1248	196	1344	294	
2DUI_HealthGlobe_00056_Classic	0.656250	0.382813	0.703125	0.574219	1344	196	1440	294	
2DUI_HealthGlobe_00057_Classic	0.703125	0.382813	0.750000	0.574219	1440	196	1536	294	
2DUI_HealthGlobe_00058_Classic	0.750000	0.382813	0.796875	0.574219	1536	196	1632	294	
2DUI_HealthGlobe_00059_Classic	0.796875	0.382813	0.843750	0.574219	1632	196	1728	294	
