Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
	0.000000	0.000000	0.031250	0.500000	0	0	64	64	
	0.031250	0.000000	0.062500	0.500000	64	0	128	64	
	0.062500	0.000000	0.093750	0.500000	128	0	192	64	
	0.093750	0.000000	0.125000	0.500000	192	0	256	64	
	0.125000	0.000000	0.156250	0.500000	256	0	320	64	
	0.156250	0.000000	0.187500	0.500000	320	0	384	64	
	0.187500	0.000000	0.218750	0.500000	384	0	448	64	
	0.218750	0.000000	0.250000	0.500000	448	0	512	64	
	0.250000	0.000000	0.281250	0.500000	512	0	576	64	
	0.281250	0.000000	0.312500	0.500000	576	0	640	64	
	0.312500	0.000000	0.343750	0.500000	640	0	704	64	
	0.343750	0.000000	0.375000	0.500000	704	0	768	64	
	0.375000	0.000000	0.406250	0.500000	768	0	832	64	
	0.406250	0.000000	0.437500	0.500000	832	0	896	64	
	0.437500	0.000000	0.468750	0.500000	896	0	960	64	
	0.468750	0.000000	0.500000	0.500000	960	0	1024	64	
	0.500000	0.000000	0.531250	0.500000	1024	0	1088	64	
	0.531250	0.000000	0.562500	0.500000	1088	0	1152	64	
	0.562500	0.000000	0.593750	0.500000	1152	0	1216	64	
	0.593750	0.000000	0.625000	0.500000	1216	0	1280	64	
	0.625000	0.000000	0.656250	0.500000	1280	0	1344	64	
	0.656250	0.000000	0.687500	0.500000	1344	0	1408	64	
	0.687500	0.000000	0.718750	0.500000	1408	0	1472	64	
	0.718750	0.000000	0.750000	0.500000	1472	0	1536	64	
	0.750000	0.000000	0.781250	0.500000	1536	0	1600	64	
	0.781250	0.000000	0.812500	0.500000	1600	0	1664	64	
	0.812500	0.000000	0.843750	0.500000	1664	0	1728	64	
	0.843750	0.000000	0.875000	0.500000	1728	0	1792	64	
	0.875000	0.000000	0.906250	0.500000	1792	0	1856	64	
	0.906250	0.000000	0.937500	0.500000	1856	0	1920	64	
	0.937500	0.000000	0.968750	0.500000	1920	0	1984	64	
	0.968750	0.000000	1.000000	0.500000	1984	0	2048	64	
	0.000000	0.500000	0.031250	1.000000	0	64	64	128	
	0.031250	0.500000	0.062500	1.000000	64	64	128	128	
	0.062500	0.500000	0.093750	1.000000	128	64	192	128	
	0.093750	0.500000	0.125000	1.000000	192	64	256	128	
	0.125000	0.500000	0.156250	1.000000	256	64	320	128	
	0.156250	0.500000	0.187500	1.000000	320	64	384	128	
	0.187500	0.500000	0.218750	1.000000	384	64	448	128	
	0.218750	0.500000	0.250000	1.000000	448	64	512	128	
	0.250000	0.500000	0.281250	1.000000	512	64	576	128	
	0.281250	0.500000	0.312500	1.000000	576	64	640	128	
	0.312500	0.500000	0.343750	1.000000	640	64	704	128	
	0.343750	0.500000	0.375000	1.000000	704	64	768	128	
	0.375000	0.500000	0.406250	1.000000	768	64	832	128	
	0.406250	0.500000	0.437500	1.000000	832	64	896	128	
	0.437500	0.500000	0.468750	1.000000	896	64	960	128	
	0.468750	0.500000	0.500000	1.000000	960	64	1024	128	
	0.500000	0.500000	0.531250	1.000000	1024	64	1088	128	
	0.531250	0.500000	0.562500	1.000000	1088	64	1152	128	
	0.562500	0.500000	0.593750	1.000000	1152	64	1216	128	
	0.593750	0.500000	0.625000	1.000000	1216	64	1280	128	
	0.625000	0.500000	0.656250	1.000000	1280	64	1344	128	
	0.656250	0.500000	0.687500	1.000000	1344	64	1408	128	
	0.687500	0.500000	0.718750	1.000000	1408	64	1472	128	
	0.718750	0.500000	0.750000	1.000000	1472	64	1536	128	
	0.750000	0.500000	0.781250	1.000000	1536	64	1600	128	
	0.781250	0.500000	0.812500	1.000000	1600	64	1664	128	
	0.812500	0.500000	0.843750	1.000000	1664	64	1728	128	
	0.843750	0.500000	0.875000	1.000000	1728	64	1792	128	
	0.875000	0.500000	0.906250	1.000000	1792	64	1856	128	
	0.906250	0.500000	0.937500	1.000000	1856	64	1920	128	
	0.937500	0.500000	0.968750	1.000000	1920	64	1984	128	
	0.968750	0.500000	1.000000	1.000000	1984	64	2048	128	
