Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
2DUI_Necro_ResourceGlobe_00000	0.000000	0.000000	0.031250	0.500000	0	0	64	64	
2DUI_Necro_ResourceGlobe_00001	0.031250	0.000000	0.062500	0.500000	64	0	128	64	
2DUI_Necro_ResourceGlobe_00002	0.062500	0.000000	0.093750	0.500000	128	0	192	64	
2DUI_Necro_ResourceGlobe_00003	0.093750	0.000000	0.125000	0.500000	192	0	256	64	
2DUI_Necro_ResourceGlobe_00004	0.125000	0.000000	0.156250	0.500000	256	0	320	64	
2DUI_Necro_ResourceGlobe_00005	0.156250	0.000000	0.187500	0.500000	320	0	384	64	
2DUI_Necro_ResourceGlobe_00006	0.187500	0.000000	0.218750	0.500000	384	0	448	64	
2DUI_Necro_ResourceGlobe_00007	0.218750	0.000000	0.250000	0.500000	448	0	512	64	
2DUI_Necro_ResourceGlobe_00008	0.250000	0.000000	0.281250	0.500000	512	0	576	64	
2DUI_Necro_ResourceGlobe_00009	0.281250	0.000000	0.312500	0.500000	576	0	640	64	
2DUI_Necro_ResourceGlobe_00010	0.312500	0.000000	0.343750	0.500000	640	0	704	64	
2DUI_Necro_ResourceGlobe_00011	0.343750	0.000000	0.375000	0.500000	704	0	768	64	
2DUI_Necro_ResourceGlobe_00012	0.375000	0.000000	0.406250	0.500000	768	0	832	64	
2DUI_Necro_ResourceGlobe_00013	0.406250	0.000000	0.437500	0.500000	832	0	896	64	
2DUI_Necro_ResourceGlobe_00014	0.437500	0.000000	0.468750	0.500000	896	0	960	64	
2DUI_Necro_ResourceGlobe_00015	0.468750	0.000000	0.500000	0.500000	960	0	1024	64	
2DUI_Necro_ResourceGlobe_00016	0.500000	0.000000	0.531250	0.500000	1024	0	1088	64	
2DUI_Necro_ResourceGlobe_00017	0.531250	0.000000	0.562500	0.500000	1088	0	1152	64	
2DUI_Necro_ResourceGlobe_00018	0.562500	0.000000	0.593750	0.500000	1152	0	1216	64	
2DUI_Necro_ResourceGlobe_00019	0.593750	0.000000	0.625000	0.500000	1216	0	1280	64	
2DUI_Necro_ResourceGlobe_00020	0.625000	0.000000	0.656250	0.500000	1280	0	1344	64	
2DUI_Necro_ResourceGlobe_00021	0.656250	0.000000	0.687500	0.500000	1344	0	1408	64	
2DUI_Necro_ResourceGlobe_00022	0.687500	0.000000	0.718750	0.500000	1408	0	1472	64	
2DUI_Necro_ResourceGlobe_00023	0.718750	0.000000	0.750000	0.500000	1472	0	1536	64	
2DUI_Necro_ResourceGlobe_00024	0.750000	0.000000	0.781250	0.500000	1536	0	1600	64	
2DUI_Necro_ResourceGlobe_00025	0.781250	0.000000	0.812500	0.500000	1600	0	1664	64	
2DUI_Necro_ResourceGlobe_00026	0.812500	0.000000	0.843750	0.500000	1664	0	1728	64	
2DUI_Necro_ResourceGlobe_00027	0.843750	0.000000	0.875000	0.500000	1728	0	1792	64	
2DUI_Necro_ResourceGlobe_00028	0.875000	0.000000	0.906250	0.500000	1792	0	1856	64	
2DUI_Necro_ResourceGlobe_00029	0.906250	0.000000	0.937500	0.500000	1856	0	1920	64	
2DUI_Necro_ResourceGlobe_00030	0.937500	0.000000	0.968750	0.500000	1920	0	1984	64	
2DUI_Necro_ResourceGlobe_00031	0.968750	0.000000	1.000000	0.500000	1984	0	2048	64	
2DUI_Necro_ResourceGlobe_00032	0.000000	0.500000	0.031250	1.000000	0	64	64	128	
2DUI_Necro_ResourceGlobe_00033	0.031250	0.500000	0.062500	1.000000	64	64	128	128	
2DUI_Necro_ResourceGlobe_00034	0.062500	0.500000	0.093750	1.000000	128	64	192	128	
2DUI_Necro_ResourceGlobe_00035	0.093750	0.500000	0.125000	1.000000	192	64	256	128	
2DUI_Necro_ResourceGlobe_00036	0.125000	0.500000	0.156250	1.000000	256	64	320	128	
2DUI_Necro_ResourceGlobe_00037	0.156250	0.500000	0.187500	1.000000	320	64	384	128	
2DUI_Necro_ResourceGlobe_00038	0.187500	0.500000	0.218750	1.000000	384	64	448	128	
2DUI_Necro_ResourceGlobe_00039	0.218750	0.500000	0.250000	1.000000	448	64	512	128	
2DUI_Necro_ResourceGlobe_00040	0.250000	0.500000	0.281250	1.000000	512	64	576	128	
2DUI_Necro_ResourceGlobe_00041	0.281250	0.500000	0.312500	1.000000	576	64	640	128	
2DUI_Necro_ResourceGlobe_00042	0.312500	0.500000	0.343750	1.000000	640	64	704	128	
