Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
PlatinumCounter_Banner	0.751953	0.095703	0.864258	0.160156	770	98	885	164	
PlatinumCounter_Bottom_Shadow	0.001953	0.001953	0.529297	0.341797	2	2	542	350	
PlatinumCounter_Counter_Shadow	0.533203	0.345703	0.625000	0.425781	546	354	640	436	
PlatinumCounter_Fanfare_Icon	0.868164	0.095703	0.928711	0.159180	889	98	951	163	
PlatinumCounter_Fanfare_Shadow	0.533203	0.190430	0.638672	0.258789	546	195	654	265	
PlatinumCounter_Frame_Top	0.533203	0.001953	0.836914	0.091797	546	2	857	94	
PlatinumCounter_Frame_Middle	0.533203	0.095703	0.748047	0.186523	546	98	766	191	
PlatinumCounter_Frame_Bottom	0.840820	0.001953	0.971680	0.082031	861	2	995	84	
PlatinumCounter_Glow	0.001953	0.693359	0.485352	0.840820	2	710	497	861	
PlatinumCounter_Top_Shadow	0.001953	0.345703	0.529297	0.689453	2	354	542	706	
