Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
SeasonJourney_BlackParchment	0.415039	0.496582	0.604492	0.616211	850	1017	1238	1262	
SeasonJourney_Break	0.805176	0.076172	0.947754	0.093262	1649	156	1941	191	
SeasonJourney_ProgressBar	0.895996	0.023926	0.965332	0.041016	1835	49	1977	84	
SeasonJourney_ProgressBarFill	0.895996	0.004883	0.965332	0.021973	1835	10	1977	45	
SeasonJourney_GreenGlow	0.458496	0.280762	0.645996	0.320313	939	575	1323	656	
SeasonJourney_BlackParchmentLeavesBG	0.458496	0.155273	0.657227	0.278809	939	318	1346	571	
SeasonJourney_RewardsFrame	0.000977	0.387207	0.214355	0.779785	2	793	439	1597	
SeasonJourney_QuestProgressBG	0.000977	0.000977	0.456543	0.385254	2	2	935	789	
SeasonJourney_QuestProgressStone	0.000977	0.781738	0.155762	0.966309	2	1601	319	1979	
SeasonJourney_QuestProgressBanner	0.458496	0.076172	0.803223	0.113770	939	156	1645	233	
SeasonJourney_QuestRewardPlate	0.700195	0.496582	0.791992	0.611816	1434	1017	1622	1253	
SeasonJourney_QuestProgressListItem	0.458496	0.004883	0.894043	0.074219	939	10	1831	152	
SeasonJourney_QuestProgressListTopBorder	0.458496	0.000977	0.913574	0.002930	939	2	1871	6	
SeasonJourney_QuestProgressListCheck	0.967285	0.004883	0.983887	0.021484	1981	10	2015	44	
SeasonJourney_QuestProgressOverlayComplete	0.943848	0.196289	0.982910	0.235352	1933	402	2013	482	
SeasonJourney_QuestProgressOverlayCurrent	0.943848	0.155273	0.982910	0.194336	1933	318	2013	398	
SeasonJourney_QuestProgressOverlayIncomplete	0.647949	0.280762	0.687012	0.319824	1327	575	1407	655	
SeasonJourney_QuestProgressStoneComplete	0.157715	0.781738	0.312500	0.966309	323	1601	640	1979	
SeasonJourney_QuestProgressBannerComplete	0.458496	0.115723	0.803223	0.153320	939	237	1645	314	
SeasonJourney_QuestProgressSealComplete	0.314453	0.781738	0.379395	0.889648	644	1601	777	1822	
SeasonJourney_QuestRewardBorderComplete	0.887695	0.496582	0.979004	0.611328	1818	1017	2005	1252	
SeasonJourney_QuestRewardMonsterBGComplete	0.216309	0.496582	0.413086	0.671875	443	1017	846	1376	
SeasonJourney_LineBreak	0.805176	0.095215	0.941406	0.096191	1649	195	1928	197	
SeasonJourney_AcceptButton_Up	0.615723	0.387207	0.813477	0.494629	1261	793	1666	1013	
SeasonJourney_AcceptButton_Over	0.659180	0.155273	0.856934	0.262695	1350	318	1755	538	
SeasonJourney_AcceptButton_Down	0.416016	0.387207	0.613770	0.494629	852	793	1257	1013	
SeasonJourney_AcceptButton_BG	0.216309	0.387207	0.414063	0.494629	443	793	848	1013	
SeasonJourney_RedIconBacking	0.858887	0.155273	0.941895	0.238770	1759	318	1929	489	
SeasonJourney_QuestRewardStashSpace	0.606445	0.496582	0.698242	0.611816	1242	1017	1430	1253	
SeasonJourney_QuestRewardPlatinum	0.793945	0.496582	0.885742	0.611816	1626	1017	1814	1253	
p4_SeasonalCache_Icon_Duplicate	0.895996	0.042969	0.927246	0.074219	1835	88	1899	152	
