Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Season_TransmogRewardIcon	0.347168	0.561523	0.459961	0.649414	711	1150	942	1330	
Season_BannerRewardIcon	0.232422	0.561523	0.345215	0.649414	476	1150	707	1330	
Season_LeaderBoardIcon	0.586426	0.461914	0.699219	0.549805	1201	946	1432	1126	
Season_WeaponRewardIcon	0.356934	0.461914	0.469727	0.549805	731	946	962	1126	
Season_PennantRewardIcon	0.242188	0.461914	0.354980	0.549805	496	946	727	1126	
Season_SeasonJourneyIcon	0.471680	0.461914	0.584473	0.549805	966	946	1197	1126	
Season_SeasonJourneyIconSolo	0.815918	0.461914	0.928711	0.549805	1671	946	1902	1126	
Season_IconHeaderFrame	0.701172	0.461914	0.813965	0.549805	1436	946	1667	1126	
Season_TitleGlow	0.000977	0.395996	0.339355	0.459961	2	811	695	942	
Season_BannerBGBaseStone	0.000977	0.561523	0.230469	0.693359	2	1150	472	1420	
Season_PortraitBannerBG	0.341309	0.395996	0.571777	0.438965	699	811	1171	899	
Season_LegendaryGlow	0.173828	0.695313	0.298340	0.862305	356	1424	611	1766	
Season_Background	0.000977	0.000977	0.674316	0.394043	2	2	1381	807	
Season_DotFade	0.000977	0.695313	0.171875	0.866211	2	1424	352	1774	
Season_footerdecor	0.902344	0.000977	0.972168	0.023438	1848	2	1991	48	
Season_ConquestSquareBG	0.902344	0.025391	0.941406	0.065918	1848	52	1928	135	
Season_TransmogBackground	0.000977	0.461914	0.240234	0.559570	2	946	492	1146	
Season_ConquestBackground	0.676270	0.000977	0.900391	0.369141	1385	2	1844	756	
