Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Barbarian_AncientSpear_Round	0.001953	0.031250	0.033203	0.531250	4	4	68	68	
Barbarian_Bash_Round	0.037109	0.031250	0.068359	0.531250	76	4	140	68	
Barbarian_BattleRage_Round	0.072266	0.031250	0.103516	0.531250	148	4	212	68	
Barbarian_CallOfTheAncients_Round	0.107422	0.031250	0.138672	0.531250	220	4	284	68	
Barbarian_Cleave_Round	0.142578	0.031250	0.173828	0.531250	292	4	356	68	
Barbarian_Earthquake_Round	0.177734	0.031250	0.208984	0.531250	364	4	428	68	
Barbarian_Frenzy_Round	0.212891	0.031250	0.244141	0.531250	436	4	500	68	
Barbarian_FuriousCharge_Round	0.248047	0.031250	0.279297	0.531250	508	4	572	68	
Barbarian_GroundStomp_Round	0.283203	0.031250	0.314453	0.531250	580	4	644	68	
Barbarian_HammerOfTheAncients_Round	0.318359	0.031250	0.349609	0.531250	652	4	716	68	
Barbarian_IgnorePain_Round	0.353516	0.031250	0.384766	0.531250	724	4	788	68	
Barbarian_Overpower_Round	0.388672	0.031250	0.419922	0.531250	796	4	860	68	
Barbarian_LeapAttack_Round	0.423828	0.031250	0.455078	0.531250	868	4	932	68	
Barbarian_Rend_Round	0.458984	0.031250	0.490234	0.531250	940	4	1004	68	
Barbarian_Revenge_Round	0.494141	0.031250	0.525391	0.531250	1012	4	1076	68	
Barbarian_SeismicSlam_Round	0.529297	0.031250	0.560547	0.531250	1084	4	1148	68	
Barbarian_Sprint_Round	0.564453	0.031250	0.595703	0.531250	1156	4	1220	68	
Barbarian_ThreateningShout_Round	0.599609	0.031250	0.630859	0.531250	1228	4	1292	68	
Barbarian_WarCry_Round	0.634766	0.031250	0.666016	0.531250	1300	4	1364	68	
Barbarian_WeaponThrow_Round	0.669922	0.031250	0.701172	0.531250	1372	4	1436	68	
Barbarian_Whirlwind_Round	0.705078	0.031250	0.736328	0.531250	1444	4	1508	68	
Barbarian_WrathOfTheBerserker_Round	0.740234	0.031250	0.771484	0.531250	1516	4	1580	68	
