Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Crusader_Dragoon_Inactive	0.001953	0.007813	0.033203	0.132813	4	4	68	68	
Crusader_Dragoon_Mouseover	0.037109	0.007813	0.068359	0.132813	76	4	140	68	
Crusader_Dragoon_Normal	0.072266	0.007813	0.103516	0.132813	148	4	212	68	
Crusader_Dragoon_Pushed	0.107422	0.007813	0.138672	0.132813	220	4	284	68	
Crusader_FistOfHeaven_Inactive	0.142578	0.007813	0.173828	0.132813	292	4	356	68	
Crusader_FistOfHeaven_Mouseover	0.177734	0.007813	0.208984	0.132813	364	4	428	68	
Crusader_FistOfHeaven_Normal	0.212891	0.007813	0.244141	0.132813	436	4	500	68	
Crusader_FistOfHeaven_Pushed	0.248047	0.007813	0.279297	0.132813	508	4	572	68	
Crusader_Flail_Inactive	0.283203	0.007813	0.314453	0.132813	580	4	644	68	
Crusader_Flail_Mouseover	0.318359	0.007813	0.349609	0.132813	652	4	716	68	
Crusader_Flail_Normal	0.353516	0.007813	0.384766	0.132813	724	4	788	68	
Crusader_Flail_Pushed	0.388672	0.007813	0.419922	0.132813	796	4	860	68	
Crusader_GodRay_Inactive	0.423828	0.007813	0.455078	0.132813	868	4	932	68	
Crusader_GodRay_Mouseover	0.458984	0.007813	0.490234	0.132813	940	4	1004	68	
Crusader_GodRay_Normal	0.494141	0.007813	0.525391	0.132813	1012	4	1076	68	
Crusader_GodRay_Pushed	0.529297	0.007813	0.560547	0.132813	1084	4	1148	68	
Crusader_ShieldBash_Inactive	0.564453	0.007813	0.595703	0.132813	1156	4	1220	68	
Crusader_ShieldBash_Mouseover	0.599609	0.007813	0.630859	0.132813	1228	4	1292	68	
Crusader_ShieldBash_Normal	0.634766	0.007813	0.666016	0.132813	1300	4	1364	68	
Crusader_ShieldBash_Pushed	0.669922	0.007813	0.701172	0.132813	1372	4	1436	68	
Crusader_ShieldThrow_Inactive	0.705078	0.007813	0.736328	0.132813	1444	4	1508	68	
Crusader_ShieldThrow_Mouseover	0.740234	0.007813	0.771484	0.132813	1516	4	1580	68	
Crusader_ShieldThrow_Normal	0.775391	0.007813	0.806641	0.132813	1588	4	1652	68	
Crusader_ShieldThrow_Pushed	0.810547	0.007813	0.841797	0.132813	1660	4	1724	68	
Crusader_Akkarat_Inactive	0.845703	0.007813	0.876953	0.132813	1732	4	1796	68	
Crusader_Akkarat_Mouseover	0.880859	0.007813	0.912109	0.132813	1804	4	1868	68	
Crusader_Akkarat_Normal	0.916016	0.007813	0.947266	0.132813	1876	4	1940	68	
Crusader_Akkarat_Pushed	0.951172	0.007813	0.982422	0.132813	1948	4	2012	68	
Crusader_BlessedHammer_Inactive	0.001953	0.148438	0.033203	0.273438	4	76	68	140	
Crusader_BlessedHammer_Mouseover	0.037109	0.148438	0.068359	0.273438	76	76	140	140	
Crusader_BlessedHammer_Normal	0.072266	0.148438	0.103516	0.273438	148	76	212	140	
Crusader_BlessedHammer_Pushed	0.107422	0.148438	0.138672	0.273438	220	76	284	140	
Crusader_BlessedShield_Inactive	0.142578	0.148438	0.173828	0.273438	292	76	356	140	
Crusader_BlessedShield_Mouseover	0.177734	0.148438	0.208984	0.273438	364	76	428	140	
Crusader_BlessedShield_Normal	0.212891	0.148438	0.244141	0.273438	436	76	500	140	
Crusader_BlessedShield_Pushed	0.248047	0.148438	0.279297	0.273438	508	76	572	140	
Crusader_Consecration_Inactive	0.283203	0.148438	0.314453	0.273438	580	76	644	140	
Crusader_Consecration_Mouseover	0.318359	0.148438	0.349609	0.273438	652	76	716	140	
Crusader_Consecration_Normal	0.353516	0.148438	0.384766	0.273438	724	76	788	140	
Crusader_Consecration_Pushed	0.388672	0.148438	0.419922	0.273438	796	76	860	140	
Crusader_Deflection_Inactive	0.423828	0.148438	0.455078	0.273438	868	76	932	140	
Crusader_Deflection_Mouseover	0.458984	0.148438	0.490234	0.273438	940	76	1004	140	
Crusader_Deflection_Normal	0.494141	0.148438	0.525391	0.273438	1012	76	1076	140	
Crusader_Deflection_Pushed	0.529297	0.148438	0.560547	0.273438	1084	76	1148	140	
Crusader_Diehard_Inactive	0.564453	0.148438	0.595703	0.273438	1156	76	1220	140	
Crusader_Diehard_Mouseover	0.599609	0.148438	0.630859	0.273438	1228	76	1292	140	
Crusader_Diehard_Normal	0.634766	0.148438	0.666016	0.273438	1300	76	1364	140	
Crusader_Diehard_Pushed	0.669922	0.148438	0.701172	0.273438	1372	76	1436	140	
Crusader_Glare_Inactive	0.705078	0.148438	0.736328	0.273438	1444	76	1508	140	
Crusader_Glare_Mouseover	0.740234	0.148438	0.771484	0.273438	1516	76	1580	140	
Crusader_Glare_Normal	0.775391	0.148438	0.806641	0.273438	1588	76	1652	140	
Crusader_Glare_Pushed	0.810547	0.148438	0.841797	0.273438	1660	76	1724	140	
Crusader_HolyBolt_Inactive	0.845703	0.148438	0.876953	0.273438	1732	76	1796	140	
Crusader_HolyBolt_Mouseover	0.880859	0.148438	0.912109	0.273438	1804	76	1868	140	
Crusader_HolyBolt_Normal	0.916016	0.148438	0.947266	0.273438	1876	76	1940	140	
Crusader_HolyBolt_Pushed	0.951172	0.148438	0.982422	0.273438	1948	76	2012	140	
Crusader_Incite_Inactive	0.001953	0.289063	0.033203	0.414063	4	148	68	212	
Crusader_Incite_Mouseover	0.037109	0.289063	0.068359	0.414063	76	148	140	212	
Crusader_Incite_Normal	0.072266	0.289063	0.103516	0.414063	148	148	212	212	
Crusader_Incite_Pushed	0.107422	0.289063	0.138672	0.414063	220	148	284	212	
Crusader_Judge_Inactive	0.142578	0.289063	0.173828	0.414063	292	148	356	212	
Crusader_Judge_Mouseover	0.177734	0.289063	0.208984	0.414063	364	148	428	212	
Crusader_Judge_Normal	0.212891	0.289063	0.244141	0.414063	436	148	500	212	
Crusader_Judge_Pushed	0.248047	0.289063	0.279297	0.414063	508	148	572	212	
Crusader_Strike_Inactive	0.283203	0.289063	0.314453	0.414063	580	148	644	212	
Crusader_Strike_Mouseover	0.318359	0.289063	0.349609	0.414063	652	148	716	212	
Crusader_Strike_Normal	0.353516	0.289063	0.384766	0.414063	724	148	788	212	
Crusader_Strike_Pushed	0.388672	0.289063	0.419922	0.414063	796	148	860	212	
Crusader_Wall_Inactive	0.423828	0.289063	0.455078	0.414063	868	148	932	212	
Crusader_Wall_Mouseover	0.458984	0.289063	0.490234	0.414063	940	148	1004	212	
Crusader_Wall_Normal	0.494141	0.289063	0.525391	0.414063	1012	148	1076	212	
Crusader_Wall_Pushed	0.529297	0.289063	0.560547	0.414063	1084	148	1148	212	
Crusader_Wrath_Inactive	0.564453	0.289063	0.595703	0.414063	1156	148	1220	212	
Crusader_Wrath_Mouseover	0.599609	0.289063	0.630859	0.414063	1228	148	1292	212	
Crusader_Wrath_Normal	0.634766	0.289063	0.666016	0.414063	1300	148	1364	212	
Crusader_Wrath_Pushed	0.669922	0.289063	0.701172	0.414063	1372	148	1436	212	
Crusader_Zeal_Inactive	0.705078	0.289063	0.736328	0.414063	1444	148	1508	212	
Crusader_Zeal_Mouseover	0.740234	0.289063	0.771484	0.414063	1516	148	1580	212	
Crusader_Zeal_Normal	0.775391	0.289063	0.806641	0.414063	1588	148	1652	212	
Crusader_Zeal_Pushed	0.810547	0.289063	0.841797	0.414063	1660	148	1724	212	
Crusader_Slash_Inactive	0.845703	0.289063	0.876953	0.414063	1732	148	1796	212	
Crusader_Slash_Mouseover	0.880859	0.289063	0.912109	0.414063	1804	148	1868	212	
Crusader_Slash_Normal	0.916016	0.289063	0.947266	0.414063	1876	148	1940	212	
Crusader_Slash_Pushed	0.951172	0.289063	0.982422	0.414063	1948	148	2012	212	
Crusader_Phalanx_Inactive	0.001953	0.429688	0.033203	0.554688	4	220	68	284	
Crusader_Phalanx_Mouseover	0.037109	0.429688	0.068359	0.554688	76	220	140	284	
Crusader_Phalanx_Normal	0.072266	0.429688	0.103516	0.554688	148	220	212	284	
Crusader_Phalanx_Pushed	0.107422	0.429688	0.138672	0.554688	220	220	284	284	
Crusader_Trebuchet_Inactive	0.142578	0.429688	0.173828	0.554688	292	220	356	284	
Crusader_Trebuchet_Mouseover	0.177734	0.429688	0.208984	0.554688	364	220	428	284	
Crusader_Trebuchet_Normal	0.212891	0.429688	0.244141	0.554688	436	220	500	284	
Crusader_Trebuchet_Pushed	0.248047	0.429688	0.279297	0.554688	508	220	572	284	
Crusader_Provoke_Inactive	0.283203	0.429688	0.314453	0.554688	580	220	644	284	
Crusader_Provoke_Mouseover	0.318359	0.429688	0.349609	0.554688	652	220	716	284	
Crusader_Provoke_Normal	0.353516	0.429688	0.384766	0.554688	724	220	788	284	
Crusader_Provoke_Pushed	0.388672	0.429688	0.419922	0.554688	796	220	860	284	
Crusader_SteedCharge_Inactive	0.423828	0.429688	0.455078	0.554688	868	220	932	284	
Crusader_SteedCharge_Mouseover	0.458984	0.429688	0.490234	0.554688	940	220	1004	284	
Crusader_SteedCharge_Normal	0.494141	0.429688	0.525391	0.554688	1012	220	1076	284	
