Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Crusader_Akkarat_Round	0.000000	0.000000	0.031250	0.500000	0	0	64	64	
Crusader_BirdOfPrey_Round	0.031250	0.000000	0.062500	0.500000	64	0	128	64	
Crusader_BlessedHammer_Round	0.062500	0.000000	0.093750	0.500000	128	0	192	64	
Crusader_BlessedShield_Round	0.093750	0.000000	0.125000	0.500000	192	0	256	64	
Crusader_Consecration_Round	0.125000	0.000000	0.156250	0.500000	256	0	320	64	
Crusader_Deflection_Round	0.156250	0.000000	0.187500	0.500000	320	0	384	64	
Crusader_Diehard_Round	0.187500	0.000000	0.218750	0.500000	384	0	448	64	
Crusader_Dragoon_Round	0.218750	0.000000	0.250000	0.500000	448	0	512	64	
Crusader_FistOfHeaven_Round	0.250000	0.000000	0.281250	0.500000	512	0	576	64	
Crusader_Flail_Round	0.281250	0.000000	0.312500	0.500000	576	0	640	64	
Crusader_Glare_Round	0.312500	0.000000	0.343750	0.500000	640	0	704	64	
Crusader_GodRay_Round	0.343750	0.000000	0.375000	0.500000	704	0	768	64	
Crusader_HolyBolt_Round	0.375000	0.000000	0.406250	0.500000	768	0	832	64	
Crusader_Incite_Round	0.406250	0.000000	0.437500	0.500000	832	0	896	64	
Crusader_Judge_Round	0.437500	0.000000	0.468750	0.500000	896	0	960	64	
Crusader_Justice_Round	0.468750	0.000000	0.500000	0.500000	960	0	1024	64	
Crusader_LawsOfFate_Round	0.500000	0.000000	0.531250	0.500000	1024	0	1088	64	
Crusader_LawsOfHope_Round	0.531250	0.000000	0.562500	0.500000	1088	0	1152	64	
Crusader_LawsOfJustice_Round	0.562500	0.000000	0.593750	0.500000	1152	0	1216	64	
Crusader_LawsOfValor_Round	0.593750	0.000000	0.625000	0.500000	1216	0	1280	64	
Crusader_Phalanx_Round	0.625000	0.000000	0.656250	0.500000	1280	0	1344	64	
Crusader_Provoke_Round	0.656250	0.000000	0.687500	0.500000	1344	0	1408	64	
Crusader_Punish_Round	0.687500	0.000000	0.718750	0.500000	1408	0	1472	64	
Crusader_ShieldBash_Round	0.718750	0.000000	0.750000	0.500000	1472	0	1536	64	
Crusader_ShieldThrow_Round	0.750000	0.000000	0.781250	0.500000	1536	0	1600	64	
Crusader_ShieldWall_Round	0.781250	0.000000	0.812500	0.500000	1600	0	1664	64	
Crusader_Slash_Round	0.812500	0.000000	0.843750	0.500000	1664	0	1728	64	
Crusader_Stampede_Round	0.843750	0.000000	0.875000	0.500000	1728	0	1792	64	
Crusader_SteedCharge_Round	0.875000	0.000000	0.906250	0.500000	1792	0	1856	64	
Crusader_Strike_Round	0.906250	0.000000	0.937500	0.500000	1856	0	1920	64	
Crusader_Trebuchet_Round	0.937500	0.000000	0.968750	0.500000	1920	0	1984	64	
Crusader_Wall_Round	0.968750	0.000000	1.000000	0.500000	1984	0	2048	64	
Crusader_Wrath_Round	0.000000	0.500000	0.031250	1.000000	0	64	64	128	
Crusader_Zeal_Round	0.031250	0.500000	0.062500	1.000000	64	64	128	128	
