Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Necromancer_ArmyOfTheDead_Round	0.001953	0.031250	0.033203	0.531250	4	4	68	68	
Necromancer_BloodGolem_Round	0.037109	0.031250	0.068359	0.531250	76	4	140	68	
Necromancer_Bloodrush_Round	0.072266	0.031250	0.103516	0.531250	148	4	212	68	
Necromancer_BloodSiphon_Round	0.107422	0.031250	0.138672	0.531250	220	4	284	68	
Necromancer_BoneArmor_Round	0.142578	0.031250	0.173828	0.531250	292	4	356	68	
Necromancer_BoneSpear_Round	0.177734	0.031250	0.208984	0.531250	364	4	428	68	
Necromancer_BoneSpikes_Round	0.212891	0.031250	0.244141	0.531250	436	4	500	68	
Necromancer_BoneSpirit_Round	0.248047	0.031250	0.279297	0.531250	508	4	572	68	
Necromancer_CorpseExplosion_Round	0.283203	0.031250	0.314453	0.531250	580	4	644	68	
Necromancer_CorpseLance_Round	0.318359	0.031250	0.349609	0.531250	652	4	716	68	
Necromancer_DeathNova_Round	0.353516	0.031250	0.384766	0.531250	724	4	788	68	
Necromancer_Decrepify_Round	0.388672	0.031250	0.419922	0.531250	796	4	860	68	
Necromancer_Devour_Round	0.423828	0.031250	0.455078	0.531250	868	4	932	68	
Necromancer_Frailty_Round	0.458984	0.031250	0.490234	0.531250	940	4	1004	68	
Necromancer_GrimScythe_Round	0.494141	0.031250	0.525391	0.531250	1012	4	1076	68	
Necromancer_LandOfTheDead_Round	0.529297	0.031250	0.560547	0.531250	1084	4	1148	68	
Necromancer_Leech_Round	0.564453	0.031250	0.595703	0.531250	1156	4	1220	68	
Necromancer_RaiseSkeleton_Round	0.599609	0.031250	0.630859	0.531250	1228	4	1292	68	
Necromancer_Revive_Round	0.634766	0.031250	0.666016	0.531250	1300	4	1364	68	
Necromancer_Simulacrum_Round	0.669922	0.031250	0.701172	0.531250	1372	4	1436	68	
Necromancer_SkeleBomb_Round	0.705078	0.031250	0.736328	0.531250	1444	4	1508	68	
Necromancer_SkeletalMage_Round	0.740234	0.031250	0.771484	0.531250	1516	4	1580	68	
