Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Necromancer_ArmyOfTheDead_Inactive	0.003906	0.007813	0.066406	0.132813	4	4	68	68	
Necromancer_ArmyOfTheDead_Mouseover	0.074219	0.007813	0.136719	0.132813	76	4	140	68	
Necromancer_ArmyOfTheDead_Normal	0.144531	0.007813	0.207031	0.132813	148	4	212	68	
Necromancer_ArmyOfTheDead_Pushed	0.214844	0.007813	0.277344	0.132813	220	4	284	68	
Necromancer_BloodGolem_Inactive	0.285156	0.007813	0.347656	0.132813	292	4	356	68	
Necromancer_BloodGolem_Mouseover	0.355469	0.007813	0.417969	0.132813	364	4	428	68	
Necromancer_BloodGolem_Normal	0.425781	0.007813	0.488281	0.132813	436	4	500	68	
Necromancer_BloodGolem_Pushed	0.496094	0.007813	0.558594	0.132813	508	4	572	68	
Necromancer_Bloodrush_Inactive	0.566406	0.007813	0.628906	0.132813	580	4	644	68	
Necromancer_Bloodrush_Mouseover	0.636719	0.007813	0.699219	0.132813	652	4	716	68	
Necromancer_Bloodrush_Normal	0.707031	0.007813	0.769531	0.132813	724	4	788	68	
Necromancer_Bloodrush_Pushed	0.777344	0.007813	0.839844	0.132813	796	4	860	68	
Necromancer_BloodSiphon_Inactive	0.847656	0.007813	0.910156	0.132813	868	4	932	68	
Necromancer_BloodSiphon_Mouseover	0.917969	0.007813	0.980469	0.132813	940	4	1004	68	
Necromancer_BloodSiphon_Normal	0.003906	0.148438	0.066406	0.273438	4	76	68	140	
Necromancer_BloodSiphon_Pushed	0.074219	0.148438	0.136719	0.273438	76	76	140	140	
Necromancer_BoneArmor_Inactive	0.144531	0.148438	0.207031	0.273438	148	76	212	140	
Necromancer_BoneArmor_Normal	0.214844	0.148438	0.277344	0.273438	220	76	284	140	
Necromancer_BoneArmor_Mouseover	0.285156	0.148438	0.347656	0.273438	292	76	356	140	
Necromancer_BoneArmor_Pushed	0.355469	0.148438	0.417969	0.273438	364	76	428	140	
Necromancer_BoneSpear_Inactive	0.425781	0.148438	0.488281	0.273438	436	76	500	140	
Necromancer_BoneSpear_Mouseover	0.496094	0.148438	0.558594	0.273438	508	76	572	140	
Necromancer_BoneSpear_Normal	0.566406	0.148438	0.628906	0.273438	580	76	644	140	
Necromancer_BoneSpear_Pushed	0.636719	0.148438	0.699219	0.273438	652	76	716	140	
Necromancer_BoneSpikes_Inactive	0.707031	0.148438	0.769531	0.273438	724	76	788	140	
