Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Scoundrel_Anatomy_Inactive	0.007813	0.007813	0.132813	0.132813	4	4	68	68	
Scoundrel_Anatomy_Mouseover	0.148438	0.007813	0.273438	0.132813	76	4	140	68	
Scoundrel_Anatomy_Normal	0.289063	0.007813	0.414063	0.132813	148	4	212	68	
Scoundrel_Anatomy_Pushed	0.429688	0.007813	0.554688	0.132813	220	4	284	68	
Scoundrel_Bandage_Inactive	0.570313	0.007813	0.695313	0.132813	292	4	356	68	
Scoundrel_Bandage_Mouseover	0.710938	0.007813	0.835938	0.132813	364	4	428	68	
Scoundrel_Bandage_Normal	0.851563	0.007813	0.976563	0.132813	436	4	500	68	
Scoundrel_Bandage_Pushed	0.007813	0.148438	0.132813	0.273438	4	76	68	140	
Scoundrel_BlackMarket_Inactive	0.148438	0.148438	0.273438	0.273438	76	76	140	140	
Scoundrel_BlackMarket_Mouseover	0.289063	0.148438	0.414063	0.273438	148	76	212	140	
Scoundrel_BlackMarket_Normal	0.429688	0.148438	0.554688	0.273438	220	76	284	140	
Scoundrel_BlackMarket_Pushed	0.570313	0.148438	0.695313	0.273438	292	76	356	140	
Scoundrel_CripplingShot_Inactive	0.710938	0.148438	0.835938	0.273438	364	76	428	140	
Scoundrel_CripplingShot_Mouseover	0.851563	0.148438	0.976563	0.273438	436	76	500	140	
Scoundrel_CripplingShot_Normal	0.007813	0.289063	0.132813	0.414063	4	148	68	212	
Scoundrel_CripplingShot_Pushed	0.148438	0.289063	0.273438	0.414063	76	148	140	212	
Scoundrel_DirtyFighting_Inactive	0.289063	0.289063	0.414063	0.414063	148	148	212	212	
Scoundrel_DirtyFighting_Mouseover	0.429688	0.289063	0.554688	0.414063	220	148	284	212	
Scoundrel_DirtyFighting_Normal	0.570313	0.289063	0.695313	0.414063	292	148	356	212	
Scoundrel_DirtyFighting_Pushed	0.710938	0.289063	0.835938	0.414063	364	148	428	212	
Scoundrel_MultiShot_Inactive	0.851563	0.289063	0.976563	0.414063	436	148	500	212	
Scoundrel_MultiShot_Mouseover	0.007813	0.429688	0.132813	0.554688	4	220	68	284	
Scoundrel_MultiShot_Normal	0.148438	0.429688	0.273438	0.554688	76	220	140	284	
Scoundrel_MultiShot_Pushed	0.289063	0.429688	0.414063	0.554688	148	220	212	284	
Scoundrel_PoisonArrows_Inactive	0.429688	0.429688	0.554688	0.554688	220	220	284	284	
Scoundrel_PoisonArrows_Mouseover	0.570313	0.429688	0.695313	0.554688	292	220	356	284	
Scoundrel_PoisonArrows_Normal	0.710938	0.429688	0.835938	0.554688	364	220	428	284	
Scoundrel_PoisonArrows_Pushed	0.851563	0.429688	0.976563	0.554688	436	220	500	284	
Scoundrel_PowerShot_Inactive	0.007813	0.570313	0.132813	0.695313	4	292	68	356	
Scoundrel_PowerShot_Mouseover	0.148438	0.570313	0.273438	0.695313	76	292	140	356	
Scoundrel_PowerShot_Normal	0.289063	0.570313	0.414063	0.695313	148	292	212	356	
Scoundrel_PowerShot_Pushed	0.429688	0.570313	0.554688	0.695313	220	292	284	356	
Scoundrel_RainOfGold_Inactive	0.570313	0.570313	0.695313	0.695313	292	292	356	356	
Scoundrel_RainOfGold_Mouseover	0.710938	0.570313	0.835938	0.695313	364	292	428	356	
Scoundrel_RainOfGold_Normal	0.851563	0.570313	0.976563	0.695313	436	292	500	356	
Scoundrel_RainOfGold_Pushed	0.007813	0.710938	0.132813	0.835938	4	364	68	428	
Scoundrel_RapidFire_Inactive	0.148438	0.710938	0.273438	0.835938	76	364	140	428	
Scoundrel_RapidFire_Mouseover	0.289063	0.710938	0.414063	0.835938	148	364	212	428	
Scoundrel_RapidFire_Normal	0.429688	0.710938	0.554688	0.835938	220	364	284	428	
Scoundrel_RapidFire_Pushed	0.570313	0.710938	0.695313	0.835938	292	364	356	428	
Scoundrel_Scavenge_Inactive	0.710938	0.710938	0.835938	0.835938	364	364	428	428	
Scoundrel_Scavenge_Mouseover	0.851563	0.710938	0.976563	0.835938	436	364	500	428	
Scoundrel_Scavenge_Normal	0.007813	0.851563	0.132813	0.976563	4	436	68	500	
Scoundrel_Scavenge_Pushed	0.148438	0.851563	0.273438	0.976563	76	436	140	500	
Scoundrel_Vanish_Inactive	0.289063	0.851563	0.414063	0.976563	148	436	212	500	
Scoundrel_Vanish_Mouseover	0.429688	0.851563	0.554688	0.976563	220	436	284	500	
Scoundrel_Vanish_Normal	0.570313	0.851563	0.695313	0.976563	292	436	356	500	
Scoundrel_Vanish_Pushed	0.710938	0.851563	0.835938	0.976563	364	436	428	500	
