Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Templar_Defender_Empathy_Inactive	0.007813	0.007813	0.132813	0.132813	4	4	68	68	
Templar_Defender_Empathy_Mouseover	0.148438	0.007813	0.273438	0.132813	76	4	140	68	
Templar_Defender_Empathy_Normal	0.289063	0.007813	0.414063	0.132813	148	4	212	68	
Templar_Defender_Empathy_Pushed	0.429688	0.007813	0.554688	0.132813	220	4	284	68	
Templar_Defender_Guardian_Inactive	0.570313	0.007813	0.695313	0.132813	292	4	356	68	
Templar_Defender_Guardian_Mouseover	0.710938	0.007813	0.835938	0.132813	364	4	428	68	
Templar_Defender_Guardian_Normal	0.851563	0.007813	0.976563	0.132813	436	4	500	68	
Templar_Defender_Guardian_Pushed	0.007813	0.148438	0.132813	0.273438	4	76	68	140	
Templar_Defender_Intervene_Inactive	0.148438	0.148438	0.273438	0.273438	76	76	140	140	
Templar_Defender_Intervene_Mouseover	0.289063	0.148438	0.414063	0.273438	148	76	212	140	
Templar_Defender_Intervene_Normal	0.429688	0.148438	0.554688	0.273438	220	76	284	140	
Templar_Defender_Intervene_Pushed	0.570313	0.148438	0.695313	0.273438	292	76	356	140	
Templar_Defender_Protection_Inactive	0.710938	0.148438	0.835938	0.273438	364	76	428	140	
Templar_Defender_Protection_Mouseover	0.851563	0.148438	0.976563	0.273438	436	76	500	140	
Templar_Defender_Protection_Normal	0.007813	0.289063	0.132813	0.414063	4	148	68	212	
Templar_Defender_Protection_Pushed	0.148438	0.289063	0.273438	0.414063	76	148	140	212	
Templar_Focus_Inspire_Inactive	0.289063	0.289063	0.414063	0.414063	148	148	212	212	
Templar_Focus_Inspire_Mouseover	0.429688	0.289063	0.554688	0.414063	220	148	284	212	
Templar_Focus_Inspire_Normal	0.570313	0.289063	0.695313	0.414063	292	148	356	212	
Templar_Focus_Inspire_Pushed	0.710938	0.289063	0.835938	0.414063	364	148	428	212	
Templar_Focus_Intimidate_Inactive	0.851563	0.289063	0.976563	0.414063	436	148	500	212	
Templar_Focus_Intimidate_Mouseover	0.007813	0.429688	0.132813	0.554688	4	220	68	284	
Templar_Focus_Intimidate_Normal	0.148438	0.429688	0.273438	0.554688	76	220	140	284	
Templar_Focus_Intimidate_Pushed	0.289063	0.429688	0.414063	0.554688	148	220	212	284	
Templar_Focus_Knight_Inactive	0.429688	0.429688	0.554688	0.554688	220	220	284	284	
Templar_Focus_Knight_Mouseover	0.570313	0.429688	0.695313	0.554688	292	220	356	284	
Templar_Focus_Knight_Normal	0.710938	0.429688	0.835938	0.554688	364	220	428	284	
Templar_Focus_Knight_Pushed	0.851563	0.429688	0.976563	0.554688	436	220	500	284	
Templar_Focus_ShieldCharge_Inactive	0.007813	0.570313	0.132813	0.695313	4	292	68	356	
Templar_Focus_ShieldCharge_Mouseover	0.148438	0.570313	0.273438	0.695313	76	292	140	356	
Templar_Focus_ShieldCharge_Normal	0.289063	0.570313	0.414063	0.695313	148	292	212	356	
Templar_Focus_ShieldCharge_Pushed	0.429688	0.570313	0.554688	0.695313	220	292	284	356	
Templar_Righteous_Heal_Inactive	0.570313	0.570313	0.695313	0.695313	292	292	356	356	
Templar_Righteous_Heal_Mouseover	0.710938	0.570313	0.835938	0.695313	364	292	428	356	
Templar_Righteous_Heal_Normal	0.851563	0.570313	0.976563	0.695313	436	292	500	356	
Templar_Righteous_Heal_Pushed	0.007813	0.710938	0.132813	0.835938	4	364	68	428	
Templar_Righteous_Loyalty_Inactive	0.148438	0.710938	0.273438	0.835938	76	364	140	428	
Templar_Righteous_Loyalty_Mouseover	0.289063	0.710938	0.414063	0.835938	148	364	212	428	
Templar_Righteous_Loyalty_Normal	0.429688	0.710938	0.554688	0.835938	220	364	284	428	
Templar_Righteous_Loyalty_Pushed	0.570313	0.710938	0.695313	0.835938	292	364	356	428	
Templar_Righteous_Onslaught_Inactive	0.710938	0.710938	0.835938	0.835938	364	364	428	428	
Templar_Righteous_Onslaught_Mouseover	0.851563	0.710938	0.976563	0.835938	436	364	500	428	
Templar_Righteous_Onslaught_Normal	0.007813	0.851563	0.132813	0.976563	4	436	68	500	
Templar_Righteous_Onslaught_Pushed	0.148438	0.851563	0.273438	0.976563	76	436	140	500	
Templar_Righteous_Tribute_Inactive	0.289063	0.851563	0.414063	0.976563	148	436	212	500	
Templar_Righteous_Tribute_Mouseover	0.429688	0.851563	0.554688	0.976563	220	436	284	500	
Templar_Righteous_Tribute_Normal	0.570313	0.851563	0.695313	0.976563	292	436	356	500	
Templar_Righteous_Tribute_Pushed	0.710938	0.851563	0.835938	0.976563	364	436	428	500	
