Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Witchdoctor_Haunt_Inactive	0.003906	0.007813	0.066406	0.132813	4	4	68	68	
Witchdoctor_Haunt_Mouseover	0.074219	0.007813	0.136719	0.132813	76	4	140	68	
Witchdoctor_Haunt_Normal	0.144531	0.007813	0.207031	0.132813	148	4	212	68	
Witchdoctor_Haunt_Pushed	0.214844	0.007813	0.277344	0.132813	220	4	284	68	
Witchdoctor_PlagueOfToads_Inactive	0.285156	0.007813	0.347656	0.132813	292	4	356	68	
Witchdoctor_PlagueOfToads_Mouseover	0.355469	0.007813	0.417969	0.132813	364	4	428	68	
Witchdoctor_PlagueOfToads_Normal	0.425781	0.007813	0.488281	0.132813	436	4	500	68	
Witchdoctor_PlagueOfToads_Pushed	0.496094	0.007813	0.558594	0.132813	508	4	572	68	
Witchdoctor_BigBadVoodoo_Inactive	0.566406	0.007813	0.628906	0.132813	580	4	644	68	
Witchdoctor_BigBadVoodoo_Mouseover	0.636719	0.007813	0.699219	0.132813	652	4	716	68	
Witchdoctor_BigBadVoodoo_Normal	0.707031	0.007813	0.769531	0.132813	724	4	788	68	
Witchdoctor_BigBadVoodoo_Pushed	0.777344	0.007813	0.839844	0.132813	796	4	860	68	
Witchdoctor_PoisonDart_Inactive	0.847656	0.007813	0.910156	0.132813	868	4	932	68	
Witchdoctor_PoisonDart_Mouseover	0.917969	0.007813	0.980469	0.132813	940	4	1004	68	
Witchdoctor_PoisonDart_Normal	0.003906	0.148438	0.066406	0.273438	4	76	68	140	
Witchdoctor_PoisonDart_Pushed	0.074219	0.148438	0.136719	0.273438	76	76	140	140	
Witchdoctor_SpiritBarrage_Inactive	0.144531	0.148438	0.207031	0.273438	148	76	212	140	
Witchdoctor_SpiritBarrage_Mouseover	0.214844	0.148438	0.277344	0.273438	220	76	284	140	
Witchdoctor_SpiritBarrage_Normal	0.285156	0.148438	0.347656	0.273438	292	76	356	140	
Witchdoctor_SpiritBarrage_Pushed	0.355469	0.148438	0.417969	0.273438	364	76	428	140	
Witchdoctor_FireBats_Inactive	0.425781	0.148438	0.488281	0.273438	436	76	500	140	
Witchdoctor_FireBats_Mouseover	0.496094	0.148438	0.558594	0.273438	508	76	572	140	
Witchdoctor_FireBats_Normal	0.566406	0.148438	0.628906	0.273438	580	76	644	140	
Witchdoctor_FireBats_Pushed	0.636719	0.148438	0.699219	0.273438	652	76	716	140	
Witchdoctor_CorpseSpiders_Inactive	0.707031	0.148438	0.769531	0.273438	724	76	788	140	
Witchdoctor_CorpseSpiders_Mouseover	0.777344	0.148438	0.839844	0.273438	796	76	860	140	
Witchdoctor_CorpseSpiders_Normal	0.847656	0.148438	0.910156	0.273438	868	76	932	140	
Witchdoctor_CorpseSpiders_Pushed	0.917969	0.148438	0.980469	0.273438	940	76	1004	140	
Witchdoctor_SummonZombieDog_Inactive	0.003906	0.289063	0.066406	0.414063	4	148	68	212	
Witchdoctor_SummonZombieDog_Mouseover	0.074219	0.289063	0.136719	0.414063	76	148	140	212	
Witchdoctor_SummonZombieDog_Normal	0.144531	0.289063	0.207031	0.414063	148	148	212	212	
Witchdoctor_SummonZombieDog_Pushed	0.214844	0.289063	0.277344	0.414063	220	148	284	212	
Witchdoctor_ZombieCharger_Inactive	0.285156	0.289063	0.347656	0.414063	292	148	356	212	
Witchdoctor_ZombieCharger_Mouseover	0.355469	0.289063	0.417969	0.414063	364	148	428	212	
Witchdoctor_ZombieCharger_Normal	0.425781	0.289063	0.488281	0.414063	436	148	500	212	
Witchdoctor_ZombieCharger_Pushed	0.496094	0.289063	0.558594	0.414063	508	148	572	212	
Witchdoctor_GraspOfTheDead_Inactive	0.566406	0.289063	0.628906	0.414063	580	148	644	212	
Witchdoctor_GraspOfTheDead_Mouseover	0.636719	0.289063	0.699219	0.414063	652	148	716	212	
Witchdoctor_GraspOfTheDead_Normal	0.707031	0.289063	0.769531	0.414063	724	148	788	212	
Witchdoctor_GraspOfTheDead_Pushed	0.777344	0.289063	0.839844	0.414063	796	148	860	212	
Witchdoctor_Hex_Inactive	0.847656	0.289063	0.910156	0.414063	868	148	932	212	
Witchdoctor_Hex_Mouseover	0.917969	0.289063	0.980469	0.414063	940	148	1004	212	
Witchdoctor_Hex_Normal	0.003906	0.429688	0.066406	0.554688	4	220	68	284	
Witchdoctor_Hex_Pushed	0.074219	0.429688	0.136719	0.554688	76	220	140	284	
Witchdoctor_Hex_Explode_Inactive	0.144531	0.429688	0.207031	0.554688	148	220	212	284	
Witchdoctor_Hex_Explode_Mouseover	0.214844	0.429688	0.277344	0.554688	220	220	284	284	
Witchdoctor_Hex_Explode_Normal	0.285156	0.429688	0.347656	0.554688	292	220	356	284	
Witchdoctor_Hex_Explode_Pushed	0.355469	0.429688	0.417969	0.554688	364	220	428	284	
Witchdoctor_Hex_ChickenWalk_Inactive	0.425781	0.429688	0.488281	0.554688	436	220	500	284	
Witchdoctor_Hex_ChickenWalk_Mouseover	0.496094	0.429688	0.558594	0.554688	508	220	572	284	
Witchdoctor_Hex_ChickenWalk_Normal	0.566406	0.429688	0.628906	0.554688	580	220	644	284	
Witchdoctor_Hex_ChickenWalk_Pushed	0.636719	0.429688	0.699219	0.554688	652	220	716	284	
Witchdoctor_Horrify_Inactive	0.707031	0.429688	0.769531	0.554688	724	220	788	284	
Witchdoctor_Horrify_Mouseover	0.777344	0.429688	0.839844	0.554688	796	220	860	284	
Witchdoctor_Horrify_Normal	0.847656	0.429688	0.910156	0.554688	868	220	932	284	
Witchdoctor_Horrify_Pushed	0.917969	0.429688	0.980469	0.554688	940	220	1004	284	
Witchdoctor_LocustSwarm_Inactive	0.003906	0.570313	0.066406	0.695313	4	292	68	356	
Witchdoctor_LocustSwarm_Mouseover	0.074219	0.570313	0.136719	0.695313	76	292	140	356	
Witchdoctor_LocustSwarm_Normal	0.144531	0.570313	0.207031	0.695313	148	292	212	356	
Witchdoctor_LocustSwarm_Pushed	0.214844	0.570313	0.277344	0.695313	220	292	284	356	
Witchdoctor_SoulHarvest_Inactive	0.285156	0.570313	0.347656	0.695313	292	292	356	356	
Witchdoctor_SoulHarvest_Mouseover	0.355469	0.570313	0.417969	0.695313	364	292	428	356	
Witchdoctor_SoulHarvest_Normal	0.425781	0.570313	0.488281	0.695313	436	292	500	356	
Witchdoctor_SoulHarvest_Pushed	0.496094	0.570313	0.558594	0.695313	508	292	572	356	
Witchdoctor_FireBomb_Inactive	0.566406	0.570313	0.628906	0.695313	580	292	644	356	
Witchdoctor_FireBomb_Mouseover	0.636719	0.570313	0.699219	0.695313	652	292	716	356	
Witchdoctor_FireBomb_Normal	0.707031	0.570313	0.769531	0.695313	724	292	788	356	
Witchdoctor_FireBomb_Pushed	0.777344	0.570313	0.839844	0.695313	796	292	860	356	
Witchdoctor_Sacrifice_Inactive	0.847656	0.570313	0.910156	0.695313	868	292	932	356	
Witchdoctor_Sacrifice_Mouseover	0.917969	0.570313	0.980469	0.695313	940	292	1004	356	
Witchdoctor_Sacrifice_Normal	0.003906	0.710938	0.066406	0.835938	4	364	68	428	
Witchdoctor_Sacrifice_Pushed	0.074219	0.710938	0.136719	0.835938	76	364	140	428	
Witchdoctor_SpiritWalk_Inactive	0.144531	0.710938	0.207031	0.835938	148	364	212	428	
Witchdoctor_SpiritWalk_Mouseover	0.214844	0.710938	0.277344	0.835938	220	364	284	428	
Witchdoctor_SpiritWalk_Normal	0.285156	0.710938	0.347656	0.835938	292	364	356	428	
Witchdoctor_SpiritWalk_Pushed	0.355469	0.710938	0.417969	0.835938	364	364	428	428	
Witchdoctor_AcidCloud_Inactive	0.425781	0.710938	0.488281	0.835938	436	364	500	428	
Witchdoctor_AcidCloud_Mouseover	0.496094	0.710938	0.558594	0.835938	508	364	572	428	
Witchdoctor_AcidCloud_Normal	0.566406	0.710938	0.628906	0.835938	580	364	644	428	
Witchdoctor_AcidCloud_Pushed	0.636719	0.710938	0.699219	0.835938	652	364	716	428	
Witchdoctor_MassConfusion_Inactive	0.707031	0.710938	0.769531	0.835938	724	364	788	428	
Witchdoctor_MassConfusion_Mouseover	0.777344	0.710938	0.839844	0.835938	796	364	860	428	
Witchdoctor_MassConfusion_Normal	0.847656	0.710938	0.910156	0.835938	868	364	932	428	
Witchdoctor_MassConfusion_Pushed	0.917969	0.710938	0.980469	0.835938	940	364	1004	428	
Witchdoctor_FetishArmy_Inactive	0.003906	0.851563	0.066406	0.976563	4	436	68	500	
Witchdoctor_FetishArmy_Mouseover	0.074219	0.851563	0.136719	0.976563	76	436	140	500	
Witchdoctor_FetishArmy_Normal	0.144531	0.851563	0.207031	0.976563	148	436	212	500	
Witchdoctor_FetishArmy_Pushed	0.214844	0.851563	0.277344	0.976563	220	436	284	500	
Witchdoctor_Gargantuan_Inactive	0.285156	0.851563	0.347656	0.976563	292	436	356	500	
Witchdoctor_Gargantuan_Mouseover	0.355469	0.851563	0.417969	0.976563	364	436	428	500	
Witchdoctor_Gargantuan_Normal	0.425781	0.851563	0.488281	0.976563	436	436	500	500	
Witchdoctor_Gargantuan_Pushed	0.496094	0.851563	0.558594	0.976563	508	436	572	500	
Witchdoctor_WallOfZombies_Inactive	0.566406	0.851563	0.628906	0.976563	580	436	644	500	
Witchdoctor_WallOfZombies_Mouseover	0.636719	0.851563	0.699219	0.976563	652	436	716	500	
Witchdoctor_WallOfZombies_Normal	0.707031	0.851563	0.769531	0.976563	724	436	788	500	
Witchdoctor_WallOfZombies_Pushed	0.777344	0.851563	0.839844	0.976563	796	436	860	500	
