Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Wizard_ArcaneOrb_Inactive	0.001953	0.007813	0.033203	0.132813	4	4	68	68	
Wizard_ArcaneOrb_Mouseover	0.037109	0.007813	0.068359	0.132813	76	4	140	68	
Wizard_ArcaneOrb_Normal	0.072266	0.007813	0.103516	0.132813	148	4	212	68	
Wizard_ArcaneOrb_Pushed	0.107422	0.007813	0.138672	0.132813	220	4	284	68	
Wizard_ArcaneTorrent_Inactive	0.142578	0.007813	0.173828	0.132813	292	4	356	68	
Wizard_ArcaneTorrent_Mouseover	0.177734	0.007813	0.208984	0.132813	364	4	428	68	
Wizard_ArcaneTorrent_Normal	0.212891	0.007813	0.244141	0.132813	436	4	500	68	
Wizard_ArcaneTorrent_Pushed	0.248047	0.007813	0.279297	0.132813	508	4	572	68	
Wizard_Archon_Inactive	0.283203	0.007813	0.314453	0.132813	580	4	644	68	
Wizard_Archon_Mouseover	0.318359	0.007813	0.349609	0.132813	652	4	716	68	
Wizard_Archon_Normal	0.353516	0.007813	0.384766	0.132813	724	4	788	68	
Wizard_Archon_Pushed	0.388672	0.007813	0.419922	0.132813	796	4	860	68	
Wizard_Blizzard_Inactive	0.423828	0.007813	0.455078	0.132813	868	4	932	68	
Wizard_Blizzard_Mouseover	0.458984	0.007813	0.490234	0.132813	940	4	1004	68	
Wizard_Blizzard_Normal	0.494141	0.007813	0.525391	0.132813	1012	4	1076	68	
Wizard_Blizzard_Pushed	0.529297	0.007813	0.560547	0.132813	1084	4	1148	68	
Wizard_ChargedBolt_Inactive	0.564453	0.007813	0.595703	0.132813	1156	4	1220	68	
Wizard_ChargedBolt_Mouseover	0.599609	0.007813	0.630859	0.132813	1228	4	1292	68	
Wizard_ChargedBolt_Normal	0.634766	0.007813	0.666016	0.132813	1300	4	1364	68	
Wizard_ChargedBolt_Pushed	0.669922	0.007813	0.701172	0.132813	1372	4	1436	68	
Wizard_DiamondSkin_Inactive	0.705078	0.007813	0.736328	0.132813	1444	4	1508	68	
Wizard_DiamondSkin_Mouseover	0.740234	0.007813	0.771484	0.132813	1516	4	1580	68	
