Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Wizard_ArcaneOrb_Round	0.003906	0.015625	0.066406	0.265625	4	4	68	68	
Wizard_ArcaneTorrent_Round	0.074219	0.015625	0.136719	0.265625	76	4	140	68	
Wizard_Archon_Round	0.144531	0.015625	0.207031	0.265625	148	4	212	68	
Wizard_Blizzard_Round	0.214844	0.015625	0.277344	0.265625	220	4	284	68	
Wizard_ChargedBolt_Round	0.285156	0.015625	0.347656	0.265625	292	4	356	68	
Wizard_DiamondSkin_Round	0.355469	0.015625	0.417969	0.265625	364	4	428	68	
Wizard_Disintegrate_Round	0.425781	0.015625	0.488281	0.265625	436	4	500	68	
Wizard_Electrocute_Round	0.496094	0.015625	0.558594	0.265625	508	4	572	68	
Wizard_EnergyArmor_Round	0.566406	0.015625	0.628906	0.265625	580	4	644	68	
Wizard_ExplosiveBlast_Round	0.636719	0.015625	0.699219	0.265625	652	4	716	68	
Wizard_Familiar_Round	0.707031	0.015625	0.769531	0.265625	724	4	788	68	
Wizard_FrostNova_Round	0.777344	0.015625	0.839844	0.265625	796	4	860	68	
Wizard_Hydra_Round	0.847656	0.015625	0.910156	0.265625	868	4	932	68	
Wizard_IceArmor_Round	0.917969	0.015625	0.980469	0.265625	940	4	1004	68	
Wizard_MagicMissile_Round	0.003906	0.296875	0.066406	0.546875	4	76	68	140	
Wizard_MagicWeapon_Round	0.074219	0.296875	0.136719	0.546875	76	76	140	140	
Wizard_Meteor_Round	0.144531	0.296875	0.207031	0.546875	148	76	212	140	
Wizard_MirrorImage_Round	0.214844	0.296875	0.277344	0.546875	220	76	284	140	
Wizard_RayOfFrost_Round	0.285156	0.296875	0.347656	0.546875	292	76	356	140	
Wizard_SlowTime_Round	0.355469	0.296875	0.417969	0.546875	364	76	428	140	
Wizard_SpectralBlade_Round	0.425781	0.296875	0.488281	0.546875	436	76	500	140	
Wizard_StoneSkin_Round	0.496094	0.296875	0.558594	0.546875	508	76	572	140	
Wizard_StormArmor_Round	0.566406	0.296875	0.628906	0.546875	580	76	644	140	
Wizard_Teleport_Round	0.636719	0.296875	0.699219	0.546875	652	76	716	140	
Wizard_Tornado_Round	0.707031	0.296875	0.769531	0.546875	724	76	788	140	
Wizard_WaveOfForce_Round	0.777344	0.296875	0.839844	0.546875	796	76	860	140	
Wizard_Archon_ArcaneBlast_Round	0.847656	0.296875	0.910156	0.546875	868	76	932	140	
Wizard_Archon_ArcaneStrike_Round	0.917969	0.296875	0.980469	0.546875	940	76	1004	140	
Wizard_Archon_DisintegrationWave_Round	0.003906	0.578125	0.066406	0.828125	4	148	68	212	
Wizard_Archon_SlowTime_Round	0.074219	0.578125	0.136719	0.828125	76	148	140	212	
Wizard_Archon_Teleport_Round	0.144531	0.578125	0.207031	0.828125	148	148	212	212	
Wizard_Archon_Cancel_Round	0.214844	0.578125	0.277344	0.828125	220	148	284	212	
