Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Barbarian_Avalanche_Inactive	0.000000	0.000000	0.031250	1.000000	0	0	64	64	
Barbarian_Avalanche_Mouseover	0.031250	0.000000	0.062500	1.000000	64	0	128	64	
Barbarian_Avalanche_Normal	0.062500	0.000000	0.093750	1.000000	128	0	192	64	
Barbarian_Avalanche_Pushed	0.093750	0.000000	0.125000	1.000000	192	0	256	64	
DemonHunter_VengeanceIsMine_Inactive	0.125000	0.000000	0.156250	1.000000	256	0	320	64	
DemonHunter_VengeanceIsMine_Mouseover	0.156250	0.000000	0.187500	1.000000	320	0	384	64	
DemonHunter_VengeanceIsMine_Normal	0.187500	0.000000	0.218750	1.000000	384	0	448	64	
DemonHunter_VengeanceIsMine_Pushed	0.218750	0.000000	0.250000	1.000000	448	0	512	64	
Monk_Epiphany_Inactive	0.250000	0.000000	0.281250	1.000000	512	0	576	64	
Monk_Epiphany_Mouseover	0.281250	0.000000	0.312500	1.000000	576	0	640	64	
Monk_Epiphany_Normal	0.312500	0.000000	0.343750	1.000000	640	0	704	64	
Monk_Epiphany_Pushed	0.343750	0.000000	0.375000	1.000000	704	0	768	64	
Witchdoctor_Piranhas_Inactive	0.375000	0.000000	0.406250	1.000000	768	0	832	64	
Witchdoctor_Piranhas_Mouseover	0.406250	0.000000	0.437500	1.000000	832	0	896	64	
Witchdoctor_Piranhas_Normal	0.437500	0.000000	0.468750	1.000000	896	0	960	64	
Witchdoctor_Piranhas_Pushed	0.468750	0.000000	0.500000	1.000000	960	0	1024	64	
Wizard_BlackHole_Inactive	0.500000	0.000000	0.531250	1.000000	1024	0	1088	64	
Wizard_BlackHole_Mouseover	0.531250	0.000000	0.562500	1.000000	1088	0	1152	64	
Wizard_BlackHole_Normal	0.562500	0.000000	0.593750	1.000000	1152	0	1216	64	
Wizard_BlackHole_Pushed	0.593750	0.000000	0.625000	1.000000	1216	0	1280	64	
