Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Traits_Crusader_Blunt_Inactive	0.000000	0.000000	0.031250	0.250000	0	0	64	64	
Traits_Crusader_Blunt_Mouseover	0.031250	0.000000	0.062500	0.250000	64	0	128	64	
Traits_Crusader_Blunt_Normal	0.062500	0.000000	0.093750	0.250000	128	0	192	64	
Traits_Crusader_Blunt_Pushed	0.093750	0.000000	0.125000	0.250000	192	0	256	64	
Traits_Crusader_Finery_Inactive	0.125000	0.000000	0.156250	0.250000	256	0	320	64	
Traits_Crusader_Finery_Mouseover	0.156250	0.000000	0.187500	0.250000	320	0	384	64	
Traits_Crusader_Finery_Normal	0.187500	0.000000	0.218750	0.250000	384	0	448	64	
Traits_Crusader_Finery_Pushed	0.218750	0.000000	0.250000	0.250000	448	0	512	64	
Traits_Crusader_HeavenlyStrength_Inactive	0.250000	0.000000	0.281250	0.250000	512	0	576	64	
Traits_Crusader_HeavenlyStrength_Mouseover	0.281250	0.000000	0.312500	0.250000	576	0	640	64	
Traits_Crusader_HeavenlyStrength_Normal	0.312500	0.000000	0.343750	0.250000	640	0	704	64	
Traits_Crusader_HeavenlyStrength_Pushed	0.343750	0.000000	0.375000	0.250000	704	0	768	64	
Traits_Crusader_HoldYourGround_Inactive	0.375000	0.000000	0.406250	0.250000	768	0	832	64	
Traits_Crusader_HoldYourGround_Mouseover	0.406250	0.000000	0.437500	0.250000	832	0	896	64	
Traits_Crusader_HoldYourGround_Normal	0.437500	0.000000	0.468750	0.250000	896	0	960	64	
Traits_Crusader_HoldYourGround_Pushed	0.468750	0.000000	0.500000	0.250000	960	0	1024	64	
Traits_Crusader_HolyCause_Inactive	0.500000	0.000000	0.531250	0.250000	1024	0	1088	64	
Traits_Crusader_HolyCause_Mouseover	0.531250	0.000000	0.562500	0.250000	1088	0	1152	64	
Traits_Crusader_HolyCause_Normal	0.562500	0.000000	0.593750	0.250000	1152	0	1216	64	
Traits_Crusader_HolyCause_Pushed	0.593750	0.000000	0.625000	0.250000	1216	0	1280	64	
Traits_Crusader_Indestructible_Normal	0.625000	0.000000	0.656250	0.250000	1280	0	1344	64	
Traits_Crusader_Indestructible_Inactive	0.656250	0.000000	0.687500	0.250000	1344	0	1408	64	
Traits_Crusader_Indestructible_Mouseover	0.687500	0.000000	0.718750	0.250000	1408	0	1472	64	
Traits_Crusader_Indestructible_Pushed	0.718750	0.000000	0.750000	0.250000	1472	0	1536	64	
Traits_Crusader_Insurmountable_Inactive	0.750000	0.000000	0.781250	0.250000	1536	0	1600	64	
Traits_Crusader_Insurmountable_Mouseover	0.781250	0.000000	0.812500	0.250000	1600	0	1664	64	
Traits_Crusader_Insurmountable_Normal	0.812500	0.000000	0.843750	0.250000	1664	0	1728	64	
Traits_Crusader_Insurmountable_Pushed	0.843750	0.000000	0.875000	0.250000	1728	0	1792	64	
Traits_Crusader_IronMaiden_Inactive	0.875000	0.000000	0.906250	0.250000	1792	0	1856	64	
Traits_Crusader_IronMaiden_Mouseover	0.906250	0.000000	0.937500	0.250000	1856	0	1920	64	
Traits_Crusader_IronMaiden_Normal	0.937500	0.000000	0.968750	0.250000	1920	0	1984	64	
Traits_Crusader_IronMaiden_Pushed	0.968750	0.000000	1.000000	0.250000	1984	0	2048	64	
Traits_Crusader_LongArmOfTheLaw_Inactive	0.000000	0.250000	0.031250	0.500000	0	64	64	128	
Traits_Crusader_LongArmOfTheLaw_Mouseover	0.031250	0.250000	0.062500	0.500000	64	64	128	128	
Traits_Crusader_LongArmOfTheLaw_Normal	0.062500	0.250000	0.093750	0.500000	128	64	192	128	
Traits_Crusader_LongArmOfTheLaw_Pushed	0.093750	0.250000	0.125000	0.500000	192	64	256	128	
Traits_Crusader_LordCommander_Inactive	0.125000	0.250000	0.156250	0.500000	256	64	320	128	
Traits_Crusader_LordCommander_Mouseover	0.156250	0.250000	0.187500	0.500000	320	64	384	128	
Traits_Crusader_LordCommander_Normal	0.187500	0.250000	0.218750	0.500000	384	64	448	128	
Traits_Crusader_LordCommander_Pushed	0.218750	0.250000	0.250000	0.500000	448	64	512	128	
Traits_Crusader_Vigilant_Inactive	0.250000	0.250000	0.281250	0.500000	512	64	576	128	
Traits_Crusader_Vigilant_Mouseover	0.281250	0.250000	0.312500	0.500000	576	64	640	128	
Traits_Crusader_Vigilant_Normal	0.312500	0.250000	0.343750	0.500000	640	64	704	128	
Traits_Crusader_Vigilant_Pushed	0.343750	0.250000	0.375000	0.500000	704	64	768	128	
Traits_Crusader_Wrathful_Inactive	0.375000	0.250000	0.406250	0.500000	768	64	832	128	
