Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Traits_Necromancer_AberrantAnimator_Inactive	0.001953	0.015625	0.033203	0.265625	4	4	68	68	
Traits_Necromancer_AberrantAnimator_Normal	0.037109	0.015625	0.068359	0.265625	76	4	140	68	
Traits_Necromancer_AberrantAnimator_Mouseover	0.072266	0.015625	0.103516	0.265625	148	4	212	68	
Traits_Necromancer_AberrantAnimator_Pushed	0.107422	0.015625	0.138672	0.265625	220	4	284	68	
Traits_Necromancer_BloodForBlood_Inactive	0.142578	0.015625	0.173828	0.265625	292	4	356	68	
Traits_Necromancer_BloodForBlood_Normal	0.177734	0.015625	0.208984	0.265625	364	4	428	68	
Traits_Necromancer_BloodForBlood_Mouseover	0.212891	0.015625	0.244141	0.265625	436	4	500	68	
Traits_Necromancer_BloodForBlood_Pushed	0.248047	0.015625	0.279297	0.265625	508	4	572	68	
Traits_Necromancer_BloodIsPower_Inactive	0.283203	0.015625	0.314453	0.265625	580	4	644	68	
Traits_Necromancer_BloodIsPower_Normal	0.318359	0.015625	0.349609	0.265625	652	4	716	68	
Traits_Necromancer_BloodIsPower_Mouseover	0.353516	0.015625	0.384766	0.265625	724	4	788	68	
Traits_Necromancer_BloodIsPower_Pushed	0.388672	0.015625	0.419922	0.265625	796	4	860	68	
Traits_Necromancer_BonePrison_Inactive	0.423828	0.015625	0.455078	0.265625	868	4	932	68	
Traits_Necromancer_BonePrison_Normal	0.458984	0.015625	0.490234	0.265625	940	4	1004	68	
Traits_Necromancer_BonePrison_Mouseover	0.494141	0.015625	0.525391	0.265625	1012	4	1076	68	
Traits_Necromancer_BonePrison_Pushed	0.529297	0.015625	0.560547	0.265625	1084	4	1148	68	
Traits_Necromancer_CommanderOfTheDead_Inactive	0.564453	0.015625	0.595703	0.265625	1156	4	1220	68	
Traits_Necromancer_CommanderOfTheDead_Normal	0.599609	0.015625	0.630859	0.265625	1228	4	1292	68	
Traits_Necromancer_CommanderOfTheDead_Mouseover	0.634766	0.015625	0.666016	0.265625	1300	4	1364	68	
Traits_Necromancer_CommanderOfTheDead_Pushed	0.669922	0.015625	0.701172	0.265625	1372	4	1436	68	
Traits_Necromancer_DrawLife_Inactive	0.705078	0.015625	0.736328	0.265625	1444	4	1508	68	
Traits_Necromancer_DrawLife_Normal	0.740234	0.015625	0.771484	0.265625	1516	4	1580	68	
Traits_Necromancer_DrawLife_Mouseover	0.775391	0.015625	0.806641	0.265625	1588	4	1652	68	
Traits_Necromancer_DrawLife_Pushed	0.810547	0.015625	0.841797	0.265625	1660	4	1724	68	
Traits_Necromancer_EternalTorment_Inactive	0.845703	0.015625	0.876953	0.265625	1732	4	1796	68	
Traits_Necromancer_EternalTorment_Normal	0.880859	0.015625	0.912109	0.265625	1804	4	1868	68	
Traits_Necromancer_EternalTorment_Mouseover	0.916016	0.015625	0.947266	0.265625	1876	4	1940	68	
