Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Traits_Monk_Determination_Inactive	0.000000	0.000000	0.062500	1.000000	0	0	64	64	
Traits_Monk_Determination_Mouseover	0.062500	0.000000	0.125000	1.000000	64	0	128	64	
Traits_Monk_Determination_Normal	0.125000	0.000000	0.187500	1.000000	128	0	192	64	
Traits_Monk_Determination_Pushed	0.187500	0.000000	0.250000	1.000000	192	0	256	64	
Traits_Monk_Assault_Inactive	0.250000	0.000000	0.312500	1.000000	256	0	320	64	
Traits_Monk_Assault_Mouseover	0.312500	0.000000	0.375000	1.000000	320	0	384	64	
Traits_Monk_Assault_Normal	0.375000	0.000000	0.437500	1.000000	384	0	448	64	
Traits_Monk_Assault_Pushed	0.437500	0.000000	0.500000	1.000000	448	0	512	64	
Traits_Icon_WitchDoctor_Sycophant_Inactive	0.500000	0.000000	0.562500	1.000000	512	0	576	64	
Traits_Icon_WitchDoctor_Sycophant_Mouseover	0.562500	0.000000	0.625000	1.000000	576	0	640	64	
Traits_Icon_WitchDoctor_Sycophant_Normal	0.625000	0.000000	0.687500	1.000000	640	0	704	64	
Traits_Icon_WitchDoctor_Sycophant_Pushed	0.687500	0.000000	0.750000	1.000000	704	0	768	64	
Traits_DemonHunter_Leech_Inactive	0.750000	0.000000	0.812500	1.000000	768	0	832	64	
Traits_DemonHunter_Leech_Mouseover	0.812500	0.000000	0.875000	1.000000	832	0	896	64	
Traits_DemonHunter_Leech_Normal	0.875000	0.000000	0.937500	1.000000	896	0	960	64	
Traits_DemonHunter_Leech_Pushed	0.937500	0.000000	1.000000	1.000000	960	0	1024	64	
