Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Traits_Witchdoctor_BloodRites_Inactive	0.001953	0.015625	0.033203	0.265625	4	4	68	68	
Traits_Witchdoctor_BloodRites_Mouseover	0.037109	0.015625	0.068359	0.265625	76	4	140	68	
Traits_Witchdoctor_BloodRites_Normal	0.072266	0.015625	0.103516	0.265625	148	4	212	68	
Traits_Witchdoctor_BloodRites_Pushed	0.107422	0.015625	0.138672	0.265625	220	4	284	68	
Traits_Witchdoctor_CareOfTheMaster_Inactive	0.142578	0.015625	0.173828	0.265625	292	4	356	68	
Traits_Witchdoctor_CareOfTheMaster_Mouseover	0.177734	0.015625	0.208984	0.265625	364	4	428	68	
Traits_Witchdoctor_CareOfTheMaster_Normal	0.212891	0.015625	0.244141	0.265625	436	4	500	68	
Traits_Witchdoctor_CareOfTheMaster_Pushed	0.248047	0.015625	0.279297	0.265625	508	4	572	68	
Traits_Witchdoctor_DeathPact_Inactive	0.283203	0.015625	0.314453	0.265625	580	4	644	68	
Traits_Witchdoctor_DeathPact_Mouseover	0.318359	0.015625	0.349609	0.265625	652	4	716	68	
Traits_Witchdoctor_DeathPact_Normal	0.353516	0.015625	0.384766	0.265625	724	4	788	68	
Traits_Witchdoctor_DeathPact_Pushed	0.388672	0.015625	0.419922	0.265625	796	4	860	68	
Traits_Witchdoctor_Ferocity_Inactive	0.423828	0.015625	0.455078	0.265625	868	4	932	68	
Traits_Witchdoctor_Ferocity_Mouseover	0.458984	0.015625	0.490234	0.265625	940	4	1004	68	
Traits_Witchdoctor_Ferocity_Normal	0.494141	0.015625	0.525391	0.265625	1012	4	1076	68	
Traits_Witchdoctor_Ferocity_Pushed	0.529297	0.015625	0.560547	0.265625	1084	4	1148	68	
Traits_Witchdoctor_JungleFortitude_Inactive	0.564453	0.015625	0.595703	0.265625	1156	4	1220	68	
Traits_Witchdoctor_JungleFortitude_Mouseover	0.599609	0.015625	0.630859	0.265625	1228	4	1292	68	
Traits_Witchdoctor_JungleFortitude_Normal	0.634766	0.015625	0.666016	0.265625	1300	4	1364	68	
Traits_Witchdoctor_JungleFortitude_Pushed	0.669922	0.015625	0.701172	0.265625	1372	4	1436	68	
Traits_Witchdoctor_LeaderOfThePack_Inactive	0.705078	0.015625	0.736328	0.265625	1444	4	1508	68	
Traits_Witchdoctor_LeaderOfThePack_Mouseover	0.740234	0.015625	0.771484	0.265625	1516	4	1580	68	
Traits_Witchdoctor_LeaderOfThePack_Normal	0.775391	0.015625	0.806641	0.265625	1588	4	1652	68	
Traits_Witchdoctor_LeaderOfThePack_Pushed	0.810547	0.015625	0.841797	0.265625	1660	4	1724	68	
Traits_Witchdoctor_ManaRegeneration_Inactive	0.845703	0.015625	0.876953	0.265625	1732	4	1796	68	
Traits_Witchdoctor_ManaRegeneration_Mouseover	0.880859	0.015625	0.912109	0.265625	1804	4	1868	68	
Traits_Witchdoctor_ManaRegeneration_Normal	0.916016	0.015625	0.947266	0.265625	1876	4	1940	68	
Traits_Witchdoctor_ManaRegeneration_Pushed	0.951172	0.015625	0.982422	0.265625	1948	4	2012	68	
Traits_Witchdoctor_Meditation_Inactive	0.001953	0.296875	0.033203	0.546875	4	76	68	140	
Traits_Witchdoctor_Meditation_Mouseover	0.037109	0.296875	0.068359	0.546875	76	76	140	140	
Traits_Witchdoctor_Meditation_Normal	0.072266	0.296875	0.103516	0.546875	148	76	212	140	
Traits_Witchdoctor_Meditation_Pushed	0.107422	0.296875	0.138672	0.546875	220	76	284	140	
Traits_Witchdoctor_MindAndBody_Inactive	0.142578	0.296875	0.173828	0.546875	292	76	356	140	
Traits_Witchdoctor_MindAndBody_Mouseover	0.177734	0.296875	0.208984	0.546875	364	76	428	140	
Traits_Witchdoctor_MindAndBody_Normal	0.212891	0.296875	0.244141	0.546875	436	76	500	140	
Traits_Witchdoctor_MindAndBody_Pushed	0.248047	0.296875	0.279297	0.546875	508	76	572	140	
Traits_Witchdoctor_Plagued_Inactive	0.283203	0.296875	0.314453	0.546875	580	76	644	140	
Traits_Witchdoctor_Plagued_Mouseover	0.318359	0.296875	0.349609	0.546875	652	76	716	140	
Traits_Witchdoctor_Plagued_Normal	0.353516	0.296875	0.384766	0.546875	724	76	788	140	
Traits_Witchdoctor_Plagued_Pushed	0.388672	0.296875	0.419922	0.546875	796	76	860	140	
Traits_Witchdoctor_RitualOfBlood_Inactive	0.423828	0.296875	0.455078	0.546875	868	76	932	140	
Traits_Witchdoctor_RitualOfBlood_Mouseover	0.458984	0.296875	0.490234	0.546875	940	76	1004	140	
Traits_Witchdoctor_RitualOfBlood_Normal	0.494141	0.296875	0.525391	0.546875	1012	76	1076	140	
Traits_Witchdoctor_RitualOfBlood_Pushed	0.529297	0.296875	0.560547	0.546875	1084	76	1148	140	
Traits_Witchdoctor_Rituals_Inactive	0.564453	0.296875	0.595703	0.546875	1156	76	1220	140	
Traits_Witchdoctor_Rituals_Mouseover	0.599609	0.296875	0.630859	0.546875	1228	76	1292	140	
Traits_Witchdoctor_Rituals_Normal	0.634766	0.296875	0.666016	0.546875	1300	76	1364	140	
Traits_Witchdoctor_Rituals_Pushed	0.669922	0.296875	0.701172	0.546875	1372	76	1436	140	
Traits_Witchdoctor_SpiritualAttunement_Inactive	0.705078	0.296875	0.736328	0.546875	1444	76	1508	140	
Traits_Witchdoctor_SpiritualAttunement_Mouseover	0.740234	0.296875	0.771484	0.546875	1516	76	1580	140	
Traits_Witchdoctor_SpiritualAttunement_Normal	0.775391	0.296875	0.806641	0.546875	1588	76	1652	140	
Traits_Witchdoctor_SpiritualAttunement_Pushed	0.810547	0.296875	0.841797	0.546875	1660	76	1724	140	
Traits_Witchdoctor_SpiritVessel_Inactive	0.845703	0.296875	0.876953	0.546875	1732	76	1796	140	
Traits_Witchdoctor_SpiritVessel_Mouseover	0.880859	0.296875	0.912109	0.546875	1804	76	1868	140	
Traits_Witchdoctor_SpiritVessel_Normal	0.916016	0.296875	0.947266	0.546875	1876	76	1940	140	
Traits_Witchdoctor_SpiritVessel_Pushed	0.951172	0.296875	0.982422	0.546875	1948	76	2012	140	
Traits_Witchdoctor_ZombieMaster_Inactive	0.001953	0.578125	0.033203	0.828125	4	148	68	212	
Traits_Witchdoctor_ZombieMaster_Mouseover	0.037109	0.578125	0.068359	0.828125	76	148	140	212	
Traits_Witchdoctor_ZombieMaster_Normal	0.072266	0.578125	0.103516	0.828125	148	148	212	212	
Traits_Witchdoctor_ZombieMaster_Pushed	0.107422	0.578125	0.138672	0.828125	220	148	284	212	
Traits_Witchdoctor_FetishLeader_Inactive	0.142578	0.578125	0.173828	0.828125	292	148	356	212	
Traits_Witchdoctor_FetishLeader_Mouseover	0.177734	0.578125	0.208984	0.828125	364	148	428	212	
Traits_Witchdoctor_FetishLeader_Normal	0.212891	0.578125	0.244141	0.828125	436	148	500	212	
Traits_Witchdoctor_FetishLeader_Pushed	0.248047	0.578125	0.279297	0.828125	508	148	572	212	
Traits_Witchdoctor_ZombieDogSpawner_Inactive	0.283203	0.578125	0.314453	0.828125	580	148	644	212	
Traits_Witchdoctor_ZombieDogSpawner_Mouseover	0.318359	0.578125	0.349609	0.828125	652	148	716	212	
Traits_Witchdoctor_ZombieDogSpawner_Normal	0.353516	0.578125	0.384766	0.828125	724	148	788	212	
Traits_Witchdoctor_ZombieDogSpawner_Pushed	0.388672	0.578125	0.419922	0.828125	796	148	860	212	
Traits_Witchdoctor_BadMedicine_Inactive	0.423828	0.578125	0.455078	0.828125	868	148	932	212	
Traits_Witchdoctor_BadMedicine_Mouseover	0.458984	0.578125	0.490234	0.828125	940	148	1004	212	
Traits_Witchdoctor_BadMedicine_Normal	0.494141	0.578125	0.525391	0.828125	1012	148	1076	212	
Traits_Witchdoctor_BadMedicine_Pushed	0.529297	0.578125	0.560547	0.828125	1084	148	1148	212	
Traits_Witchdoctor_GraveInjustice_Inactive	0.564453	0.578125	0.595703	0.828125	1156	148	1220	212	
Traits_Witchdoctor_GraveInjustice_Mouseover	0.599609	0.578125	0.630859	0.828125	1228	148	1292	212	
Traits_Witchdoctor_GraveInjustice_Normal	0.634766	0.578125	0.666016	0.828125	1300	148	1364	212	
Traits_Witchdoctor_GraveInjustice_Pushed	0.669922	0.578125	0.701172	0.828125	1372	148	1436	212	
