Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Traits_Barbarian_EarthenMight_Inactive	0.000000	0.000000	0.031250	0.250000	0	0	64	64	
Traits_Barbarian_EarthenMight_Mouseover	0.031250	0.000000	0.062500	0.250000	64	0	128	64	
Traits_Barbarian_EarthenMight_Normal	0.062500	0.000000	0.093750	0.250000	128	0	192	64	
Traits_Barbarian_EarthenMight_Pushed	0.093750	0.000000	0.125000	0.250000	192	0	256	64	
Traits_Barbarian_KillingSpree_Inactive	0.125000	0.000000	0.156250	0.250000	256	0	320	64	
Traits_Barbarian_KillingSpree_Mouseover	0.156250	0.000000	0.187500	0.250000	320	0	384	64	
Traits_Barbarian_KillingSpree_Normal	0.187500	0.000000	0.218750	0.250000	384	0	448	64	
Traits_Barbarian_KillingSpree_Pushed	0.218750	0.000000	0.250000	0.250000	448	0	512	64	
Traits_Barbarian_Rampage_Inactive	0.250000	0.000000	0.281250	0.250000	512	0	576	64	
Traits_Barbarian_Rampage_Mouseover	0.281250	0.000000	0.312500	0.250000	576	0	640	64	
Traits_Barbarian_Rampage_Normal	0.312500	0.000000	0.343750	0.250000	640	0	704	64	
Traits_Barbarian_Rampage_Pushed	0.343750	0.000000	0.375000	0.250000	704	0	768	64	
Traits_Barbarian_SwordAndBoard_Inactive	0.375000	0.000000	0.406250	0.250000	768	0	832	64	
Traits_Barbarian_SwordAndBoard_Mouseover	0.406250	0.000000	0.437500	0.250000	832	0	896	64	
Traits_Barbarian_SwordAndBoard_Normal	0.437500	0.000000	0.468750	0.250000	896	0	960	64	
Traits_Barbarian_SwordAndBoard_Pushed	0.468750	0.000000	0.500000	0.250000	960	0	1024	64	
Traits_DemonHunter_Ambush_Inactive	0.500000	0.000000	0.531250	0.250000	1024	0	1088	64	
Traits_DemonHunter_Ambush_Mouseover	0.531250	0.000000	0.562500	0.250000	1088	0	1152	64	
Traits_DemonHunter_Ambush_Normal	0.562500	0.000000	0.593750	0.250000	1152	0	1216	64	
Traits_DemonHunter_Ambush_Pushed	0.593750	0.000000	0.625000	0.250000	1216	0	1280	64	
Traits_DemonHunter_Awareness_Inactive	0.625000	0.000000	0.656250	0.250000	1280	0	1344	64	
Traits_DemonHunter_Awareness_Mouseover	0.656250	0.000000	0.687500	0.250000	1344	0	1408	64	
