Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
2DUI_WitchDoctor_ResourceGlobe_00000	0.000000	0.000000	0.023438	0.382813	0	0	48	49	
2DUI_WitchDoctor_ResourceGlobe_00001	0.023438	0.000000	0.046875	0.382813	48	0	96	49	
2DUI_WitchDoctor_ResourceGlobe_00002	0.046875	0.000000	0.070313	0.382813	96	0	144	49	
2DUI_WitchDoctor_ResourceGlobe_00003	0.070313	0.000000	0.093750	0.382813	144	0	192	49	
2DUI_WitchDoctor_ResourceGlobe_00004	0.093750	0.000000	0.117188	0.382813	192	0	240	49	
2DUI_WitchDoctor_ResourceGlobe_00005	0.117188	0.000000	0.140625	0.382813	240	0	288	49	
2DUI_WitchDoctor_ResourceGlobe_00006	0.140625	0.000000	0.164063	0.382813	288	0	336	49	
2DUI_WitchDoctor_ResourceGlobe_00007	0.164063	0.000000	0.187500	0.382813	336	0	384	49	
2DUI_WitchDoctor_ResourceGlobe_00008	0.187500	0.000000	0.210938	0.382813	384	0	432	49	
2DUI_WitchDoctor_ResourceGlobe_00009	0.210938	0.000000	0.234375	0.382813	432	0	480	49	
2DUI_WitchDoctor_ResourceGlobe_00010	0.234375	0.000000	0.257813	0.382813	480	0	528	49	
2DUI_WitchDoctor_ResourceGlobe_00011	0.257813	0.000000	0.281250	0.382813	528	0	576	49	
2DUI_WitchDoctor_ResourceGlobe_00012	0.281250	0.000000	0.304688	0.382813	576	0	624	49	
2DUI_WitchDoctor_ResourceGlobe_00013	0.304688	0.000000	0.328125	0.382813	624	0	672	49	
2DUI_WitchDoctor_ResourceGlobe_00014	0.328125	0.000000	0.351563	0.382813	672	0	720	49	
2DUI_WitchDoctor_ResourceGlobe_00015	0.351563	0.000000	0.375000	0.382813	720	0	768	49	
2DUI_WitchDoctor_ResourceGlobe_00016	0.375000	0.000000	0.398438	0.382813	768	0	816	49	
2DUI_WitchDoctor_ResourceGlobe_00017	0.398438	0.000000	0.421875	0.382813	816	0	864	49	
2DUI_WitchDoctor_ResourceGlobe_00018	0.421875	0.000000	0.445313	0.382813	864	0	912	49	
